,회사명,거래소코드,회계년도,영업활동으로인한현금흐름(간접법)(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원)
331,(주)광무,029480,2020,-1312547.0,2101183.0,-9990224.0
332,(주)광무,029480,2021,-1066561.0,6926274.0,62665836.0
346,(주)구영테크,053270,2011,1574250.0,-9334663.0,6137278.0
347,(주)구영테크,053270,2012,11791408.0,-19332088.0,11106851.0
348,(주)구영테크,053270,2013,11048296.0,2200348.0,-14348608.0
349,(주)구영테크,053270,2014,3399363.0,-7627163.0,3862049.0
350,(주)구영테크,053270,2015,17308908.0,-9701693.0,-2938134.0
351,(주)구영테크,053270,2016,19282164.0,-16813216.0,-2911666.0
352,(주)구영테크,053270,2017,5515131.0,-23239804.0,22758861.0
353,(주)구영테크,053270,2018,3263344.0,-19303224.0,7721502.0
354,(주)구영테크,053270,2019,7656129.0,-6494849.0,573062.0
355,(주)구영테크,053270,2020,18178378.0,-14700287.0,-503951.0
356,(주)구영테크,053270,2021,17241006.0,-19252542.0,3865744.0
357,(주)국동,005320,2011,-963482.0,-563056.0,1249978.0
358,(주)국동,005320,2012,4976107.0,-802263.0,-3697858.0
359,(주)국동,005320,2013,-2405589.0,-1008688.0,43744.0
360,(주)국동,005320,2014,-12910.0,-4423508.0,9356588.0
361,(주)국동,005320,2015,3908416.0,-3399517.0,1703029.0
362,(주)국동,005320,2016,747703.0,-15940624.0,17156098.0
363,(주)국동,005320,2017,-6827943.0,-4410422.0,3011233.0
364,(주)국동,005320,2018,-3944667.0,1472014.0,791350.0
365,(주)국동,005320,2019,3901005.0,-23961325.0,24263642.0
366,(주)국동,005320,2020,25978507.0,4858169.0,30405424.0
367,(주)국동,005320,2021,-25316837.0,-7110215.0,-25636490.0
368,(주)국보,001140,2011,3249944.0,961955.0,-3806294.0
369,(주)국보,001140,2012,-3613866.0,-1274126.0,5433114.0
370,(주)국보,001140,2013,2809735.0,-3656970.0,224500.0
371,(주)국보,001140,2014,-238084.0,604389.0,-314587.0
372,(주)국보,001140,2015,-837022.0,3057463.0,-2424763.0
373,(주)국보,001140,2016,507314.0,194932.0,-811656.0
374,(주)국보,001140,2017,-3103505.0,-531778.0,4309295.0
375,(주)국보,001140,2018,-6078157.0,20673339.0,-15204967.0
376,(주)국보,001140,2019,-9899692.0,-2963513.0,17704213.0
377,(주)국보,001140,2020,-10627275.0,-3744404.0,9611125.0
378,(주)국보,001140,2021,2033468.0,-19210101.0,22780705.0
379,(주)국보디자인,066620,2011,15461768.0,-9687267.0,-2534452.0
380,(주)국보디자인,066620,2012,15200794.0,-7894541.0,1209544.0
381,(주)국보디자인,066620,2013,20298063.0,-24803246.0,1871372.0
382,(주)국보디자인,066620,2014,13115955.0,-10641719.0,-5096372.0
383,(주)국보디자인,066620,2015,12342482.0,-9937234.0,6000.0
384,(주)국보디자인,066620,2016,12706335.0,-3570086.0,-7555049.0
385,(주)국보디자인,066620,2017,17688040.0,-1877183.0,-1825983.0
386,(주)국보디자인,066620,2018,2672078.0,-8679349.0,-4487473.0
387,(주)국보디자인,066620,2019,5879030.0,-3573627.0,-2910115.0
388,(주)국보디자인,066620,2020,34430454.0,-12738081.0,-5320036.0
389,(주)국보디자인,066620,2021,12124010.0,-16539937.0,-2515951.0
390,(주)국순당,043650,2011,7678883.0,-9565683.0,-4350705.0
391,(주)국순당,043650,2012,7480415.0,-10521522.0,7495940.0
392,(주)국순당,043650,2013,4097835.0,-3743052.0,1730300.0
393,(주)국순당,043650,2014,2930587.0,5409553.0,-4801400.0
394,(주)국순당,043650,2015,-9008894.0,4802344.0,3766659.0
395,(주)국순당,043650,2016,141542.0,-12698994.0,-1511584.0
396,(주)국순당,043650,2017,-2421354.0,15508783.0,-716646.0
397,(주)국순당,043650,2018,-5633688.0,-3833228.0,-3070820.0
398,(주)국순당,043650,2019,-4311503.0,19566430.0,-5399387.0
399,(주)국순당,043650,2020,15137331.0,-490147.0,-6375171.0
400,(주)국순당,043650,2021,5759119.0,-5977533.0,-3413763.0
416,(주)그래디언트,035080,2011,30951834.0,-260754525.0,175871712.0
417,(주)그래디언트,035080,2012,-36922160.0,52759251.0,-27384670.0
418,(주)그래디언트,035080,2013,79408763.0,-10169694.0,-22443439.0
419,(주)그래디언트,035080,2014,231909338.0,-138819396.0,1922008.0
420,(주)그래디언트,035080,2015,-17283547.0,-21576537.0,-35304058.0
421,(주)그래디언트,035080,2016,115110645.0,-65823461.0,-31762090.0
422,(주)그래디언트,035080,2017,185478374.0,-158100941.0,-31986293.0
423,(주)그래디언트,035080,2018,89690570.0,-34993424.0,-20727115.0
424,(주)그래디언트,035080,2019,136435672.0,-88105524.0,-73544984.0
425,(주)그래디언트,035080,2020,-69055960.0,105999550.0,-76292246.0
426,(주)그래디언트,035080,2021,58786042.0,-50532113.0,-22870264.0
427,(주)그리티,204020,2018,5431995.0,-23503665.0,17621607.0
428,(주)그리티,204020,2019,-1686901.0,11577718.0,-9082842.0
429,(주)그리티,204020,2020,3256329.0,4705096.0,-7859481.0
430,(주)그리티,204020,2021,117235.0,4110285.0,-4240494.0
431,(주)그린플러스,186230,2019,-2089558.0,-833175.0,6767279.0
432,(주)그린플러스,186230,2020,2648942.0,-7195393.0,10357363.0
433,(주)그린플러스,186230,2021,-950616.0,-2510270.0,15201222.0
435,(주)글로벌스탠다드테크놀로지,083450,2011,4492432.0,-8602113.0,6175565.0
436,(주)글로벌스탠다드테크놀로지,083450,2012,4001355.0,2920877.0,-2008574.0
437,(주)글로벌스탠다드테크놀로지,083450,2013,1561871.0,-2967228.0,2019654.0
438,(주)글로벌스탠다드테크놀로지,083450,2014,12091380.0,-3285187.0,42494.0
439,(주)글로벌스탠다드테크놀로지,083450,2015,6748971.0,-9000109.0,-559542.0
440,(주)글로벌스탠다드테크놀로지,083450,2016,158727.0,-3735368.0,563035.0
441,(주)글로벌스탠다드테크놀로지,083450,2017,17990434.0,-11451677.0,441771.0
442,(주)글로벌스탠다드테크놀로지,083450,2018,2345516.0,-6874684.0,-2754280.0
443,(주)글로벌스탠다드테크놀로지,083450,2019,19307761.0,-4544589.0,-990125.0
444,(주)글로벌스탠다드테크놀로지,083450,2020,19591166.0,-3743859.0,-5280685.0
445,(주)글로벌스탠다드테크놀로지,083450,2021,25550969.0,-19440851.0,-94528.0
