,회사명,거래소코드,회계년도,토빈Q
250,(주)골프존뉴딘홀딩스,121440,2016,0.7538323425992562
251,(주)골프존뉴딘홀딩스,121440,2017,0.6390439332310739
252,(주)골프존뉴딘홀딩스,121440,2018,0.5892010779456344
253,(주)골프존뉴딘홀딩스,121440,2019,0.6237326330104135
254,(주)골프존뉴딘홀딩스,121440,2020,0.7156788616726284
255,(주)골프존뉴딘홀딩스,121440,2021,0.7717123186459147
256,(주)광림,014200,2014,0.595139638088636
257,(주)광림,014200,2016,1.9698985354134193
258,(주)광림,014200,2017,1.3959220922512283
259,(주)광림,014200,2018,1.1970704484893824
260,(주)광림,014200,2019,1.107912358834628
261,(주)광림,014200,2020,1.0613400083540057
262,(주)광림,014200,2021,1.1195968412263184
263,(주)광명전기,017040,2011,1.3385431146737194
264,(주)광명전기,017040,2012,1.3255263845403569
265,(주)광명전기,017040,2013,1.1502845277282343
266,(주)광명전기,017040,2014,1.131381693738065
267,(주)광명전기,017040,2015,1.1178139400579212
268,(주)광명전기,017040,2016,1.2089938478129536
269,(주)광명전기,017040,2017,1.0876521357393152
270,(주)광명전기,017040,2018,1.1154400736886456
271,(주)광명전기,017040,2019,0.9394259833304517
272,(주)광명전기,017040,2020,0.8640707168033409
273,(주)광명전기,017040,2021,0.9585041537368949
274,(주)광무,029480,2011,2.1186374678888993
275,(주)광무,029480,2012,0.5081879807635259
276,(주)광무,029480,2013,1.653732801614487
277,(주)광무,029480,2018,1.1347750599083812
278,(주)광무,029480,2019,1.6106898971722083
279,(주)광무,029480,2020,1.6042303180122195
280,(주)광무,029480,2021,2.0873755261410865
281,(주)구영테크,053270,2011,0.8785477882280167
282,(주)구영테크,053270,2012,0.8880631995959569
283,(주)구영테크,053270,2013,0.8680196998278907
284,(주)구영테크,053270,2014,0.8420359546462397
285,(주)구영테크,053270,2015,0.9276865923122625
286,(주)구영테크,053270,2016,0.9201037670805895
287,(주)구영테크,053270,2017,0.9241542263990683
288,(주)구영테크,053270,2018,0.8559341522612814
289,(주)구영테크,053270,2019,0.8731630094771855
290,(주)구영테크,053270,2020,0.878298428284402
291,(주)구영테크,053270,2021,1.0250181598453159
292,(주)국동,005320,2011,0.9857622867653903
293,(주)국동,005320,2012,0.9384505686950946
294,(주)국동,005320,2013,0.9097733663200973
295,(주)국동,005320,2014,1.1928757053855032
296,(주)국동,005320,2015,1.1812495166520915
297,(주)국동,005320,2016,0.9624440476313239
298,(주)국동,005320,2017,0.9916585905849357
299,(주)국동,005320,2018,0.8678897206410586
300,(주)국동,005320,2019,0.7653940843377337
301,(주)국동,005320,2020,1.3417763208663485
302,(주)국동,005320,2021,1.3394752381800383
303,(주)국보,001140,2011,0.7663539340078355
304,(주)국보,001140,2012,0.7822917211267949
305,(주)국보,001140,2013,0.8170465228301093
306,(주)국보,001140,2014,0.8951306660118198
307,(주)국보,001140,2015,1.0311935849937988
308,(주)국보,001140,2016,1.0778219337327788
309,(주)국보,001140,2017,0.9762913530567761
310,(주)국보,001140,2018,1.1434667285685165
311,(주)국보,001140,2019,1.346232880714219
312,(주)국보,001140,2020,1.6853645591971542
313,(주)국보,001140,2021,1.7429576384984278
314,(주)국보디자인,066620,2011,0.8574696543305623
315,(주)국보디자인,066620,2012,0.9308549037061142
316,(주)국보디자인,066620,2013,1.0957328289583168
317,(주)국보디자인,066620,2014,1.2202386077731475
318,(주)국보디자인,066620,2015,1.3210905067322416
319,(주)국보디자인,066620,2016,1.238012392169173
320,(주)국보디자인,066620,2017,1.247069298431398
321,(주)국보디자인,066620,2018,0.9732174124040122
322,(주)국보디자인,066620,2019,1.0163297590121798
323,(주)국보디자인,066620,2020,0.8781918069361376
324,(주)국보디자인,066620,2021,0.795762579781093
325,(주)국순당,043650,2011,0.8176140591309863
326,(주)국순당,043650,2012,0.720084898821651
327,(주)국순당,043650,2013,0.5942995182349058
328,(주)국순당,043650,2014,0.5897807869905587
329,(주)국순당,043650,2015,0.6253631832703067
330,(주)국순당,043650,2016,0.6680495388388632
331,(주)국순당,043650,2017,0.5150240499293651
332,(주)국순당,043650,2018,0.41502815674828375
333,(주)국순당,043650,2019,0.409405891496131
334,(주)국순당,043650,2020,0.4962772232940635
335,(주)국순당,043650,2021,0.691573332024781
336,(주)그래디언트,035080,2011,1.119521317226097
337,(주)그래디언트,035080,2012,1.0380292506387703
338,(주)그래디언트,035080,2013,0.9530365590622192
339,(주)그래디언트,035080,2014,0.8205102271433717
340,(주)그래디언트,035080,2015,0.8836079852315176
341,(주)그래디언트,035080,2016,0.7356956764009891
342,(주)그래디언트,035080,2017,0.7168847117264839
343,(주)그래디언트,035080,2018,0.6844826199628669
344,(주)그래디언트,035080,2019,0.6935766268223175
345,(주)그래디언트,035080,2020,0.7347556881767942
346,(주)그래디언트,035080,2021,0.913189253747396
347,(주)그리티,204020,2018,1.0615887912624538
348,(주)그리티,204020,2019,0.7840088783703757
349,(주)그리티,204020,2020,0.8754964115625323
350,(주)그리티,204020,2021,0.8284069876559116
351,(주)그린플러스,186230,2019,1.1956766622901736
352,(주)그린플러스,186230,2020,2.010225193562361
353,(주)그린플러스,186230,2021,1.9206749679994966
354,(주)글로벌스탠다드테크놀로지,083450,2011,0.9512966128266995
355,(주)글로벌스탠다드테크놀로지,083450,2012,0.9891929895721694
356,(주)글로벌스탠다드테크놀로지,083450,2013,1.0726183167465253
357,(주)글로벌스탠다드테크놀로지,083450,2014,1.04262490371717
358,(주)글로벌스탠다드테크놀로지,083450,2015,0.9615546267110724
359,(주)글로벌스탠다드테크놀로지,083450,2016,0.868995429168884
360,(주)글로벌스탠다드테크놀로지,083450,2017,1.3495316548176066
361,(주)글로벌스탠다드테크놀로지,083450,2018,0.5947327248616856
362,(주)글로벌스탠다드테크놀로지,083450,2019,0.87840929184414
363,(주)글로벌스탠다드테크놀로지,083450,2020,1.2930288987309921
364,(주)글로벌스탠다드테크놀로지,083450,2021,1.8990651994118115
365,(주)금비,008870,2011,0.5615154363331475
366,(주)금비,008870,2012,0.555740703831127
367,(주)금비,008870,2013,0.5295582190073858
368,(주)금비,008870,2014,0.5718970864680739
369,(주)금비,008870,2015,0.7266153239543343
370,(주)금비,008870,2016,0.7884066921066514
371,(주)금비,008870,2017,0.7118684396487389
372,(주)금비,008870,2018,0.6488180586445864
373,(주)금비,008870,2019,0.6226433099283797
374,(주)금비,008870,2020,0.6971227606697787
375,(주)금비,008870,2021,0.736970310565929
376,(주)금빛,045890,2011,1.146883663835977
377,(주)금빛,045890,2012,1.0531125977656455
378,(주)금빛,045890,2013,1.0749323471189798
379,(주)금빛,045890,2014,0.8880793233235172
380,(주)금빛,045890,2015,1.0144583192179868
381,(주)금빛,045890,2016,0.97656856383671
382,(주)금빛,045890,2017,1.0514291185221576
383,(주)금빛,045890,2018,1.1375325238247067
384,(주)금빛,045890,2019,1.7101706602427642
385,(주)금빛,045890,2020,0.9041507291386246
386,(주)금양,001570,2011,0.8974332068054846
387,(주)금양,001570,2012,0.9653616851514047
