,회사명,거래소코드,회계년도,보통주식비율,외국인_주식분포비율
499,(주)금양,1570,2011,31.85,0.86
500,(주)금양,1570,2012,35.77,0.13
501,(주)금양,1570,2013,38.53,0.34
502,(주)금양,1570,2014,42.62,0.46
503,(주)금양,1570,2015,42.62,0.76
504,(주)금양,1570,2016,43.98,1.47
505,(주)금양,1570,2017,47.04,0.51
506,(주)금양,1570,2018,48.22,0.48
507,(주)금양,1570,2019,48.42,0.44
508,(주)금양,1570,2020,50.77,0.66
509,(주)금양,1570,2021,49.41,0.67
510,(주)금오하이텍,165270,2011,0,0
511,(주)금오하이텍,165270,2012,0,0
512,(주)금오하이텍,165270,2013,79.96,0
513,(주)금오하이텍,165270,2014,79.96,0
514,(주)금오하이텍,165270,2015,58.93,0
515,(주)금오하이텍,165270,2016,59.02,0
516,(주)금호에이치티,214330,2011,0,0
517,(주)금호에이치티,214330,2012,0,0
518,(주)금호에이치티,214330,2013,0,0
519,(주)금호에이치티,214330,2014,0,0
520,(주)금호에이치티,214330,2015,37,17.43
521,(주)금호에이치티,214330,2016,37.37,17.69
522,(주)금호에이치티,214330,2017,37.38,9.42
523,(주)금호에이치티,214330,2018,42.49,7.74
524,(주)금호에이치티,214330,2019,50.49,3.68
525,(주)금호에이치티,214330,2020,25.53,2.73
526,(주)금호에이치티,214330,2021,24.83,2.49
527,(주)금화피에스시,36190,2011,35.37,10.35
528,(주)금화피에스시,36190,2012,35.62,12.15
529,(주)금화피에스시,36190,2013,35.97,15.62
530,(주)금화피에스시,36190,2014,36.03,19.04
531,(주)금화피에스시,36190,2015,36.06,19.85
532,(주)금화피에스시,36190,2016,36.89,23.66
533,(주)금화피에스시,36190,2017,36.89,28.22
534,(주)금화피에스시,36190,2018,36.68,29.1
535,(주)금화피에스시,36190,2019,36.68,28.62
536,(주)금화피에스시,36190,2020,36.68,28.84
537,(주)금화피에스시,36190,2021,36.68,26.02
538,(주)기가레인,49080,2013,46.49,0.83
539,(주)기가레인,49080,2014,40.9,1.35
540,(주)기가레인,49080,2015,39.4,0.66
541,(주)기가레인,49080,2016,38.72,1.35
542,(주)기가레인,49080,2017,33.6,0.58
543,(주)기가레인,49080,2018,30.1,2.07
544,(주)기가레인,49080,2019,24.2,2.62
545,(주)기가레인,49080,2020,40.4,4.4
546,(주)기가레인,49080,2021,30.68,2.87
547,(주)기산텔레콤,35460,2011,35.99,0.06
548,(주)기산텔레콤,35460,2012,35.99,0.06
549,(주)기산텔레콤,35460,2013,35.99,0.51
550,(주)기산텔레콤,35460,2014,35.99,0.4
551,(주)기산텔레콤,35460,2015,35.85,1.65
552,(주)기산텔레콤,35460,2016,35.22,2.39
553,(주)기산텔레콤,35460,2017,35.22,1.89
554,(주)기산텔레콤,35460,2018,35.22,1.81
555,(주)기산텔레콤,35460,2019,36.48,2.54
556,(주)기산텔레콤,35460,2020,35.22,2.64
