회사명,거래소코드,회계년도,[제조]   연구비(연결),[제조]   경상개발비(연결),[제조]매출액(영업수익)(*)
(주)그린플러스,186230,2019/12,0,354776,39502728
(주)그린플러스,186230,2020/12,0,430707,55545281
(주)그린플러스,186230,2021/12,0,503947,76237910
(주)극동자동화,272420,2017/12,,,16625216
(주)글로벌스탠다드테크놀로지,083450,2011/12,0,63599,40662578
(주)글로벌스탠다드테크놀로지,083450,2012/12,0,125475,62774905
(주)글로벌스탠다드테크놀로지,083450,2013/12,0,376200,78917554
(주)글로벌스탠다드테크놀로지,083450,2014/12,0,252397,85992839
(주)글로벌스탠다드테크놀로지,083450,2015/12,0,4200500,80102292
(주)글로벌스탠다드테크놀로지,083450,2016/12,0,3984546,81859588
(주)글로벌스탠다드테크놀로지,083450,2017/12,0,4940700,154761834
(주)글로벌스탠다드테크놀로지,083450,2018/12,0,9090657,115619452
(주)글로벌스탠다드테크놀로지,083450,2019/12,0,11914761,150777009
(주)글로벌스탠다드테크놀로지,083450,2020/12,0,11530434,154150365
(주)글로벌스탠다드테크놀로지,083450,2021/12,0,16223925,289753441
(주)금비,008870,2011/09,0,642815,90614774
(주)금비,008870,2012/09,0,193906,83296660
(주)금비,008870,2013/09,0,183291,82028937
(주)금비,008870,2014/09,0,301417,80715556
(주)금비,008870,2015/09,0,196943,93629076
(주)금비,008870,2016/09,0,431847,100327539
(주)금비,008870,2017/09,0,439288,80379261
(주)금비,008870,2018/09,0,289659,90793198
(주)금비,008870,2019/09,0,332814,91480486
(주)금비,008870,2020/09,0,827042,79341217
(주)금비,008870,2021/09,0,1231641,82273050
(주)금빛,045890,2011/12,0,721388,48908773
(주)금빛,045890,2012/12,0,541607,74367184
(주)금빛,045890,2013/12,0,0,75831455
(주)금빛,045890,2014/12,0,0,76784301
(주)금빛,045890,2015/12,0,0,79881383
(주)금빛,045890,2016/12,0,0,67258801
(주)금빛,045890,2017/12,0,0,65805697
(주)금빛,045890,2018/12,0,0,50396516
(주)금빛,045890,2019/12,0,0,55240846
