,회사명,거래소코드,회계년도,직급명,1인평균지급액(임원),1인년간평균급여(직원)
340,(주)SNT홀딩스,36530,2015/12,등기이사,133000.0,69000.0
343,(주)SNT홀딩스,36530,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",117000.0,81000.0
345,(주)SNT홀딩스,36530,2016/12,사외이사 (감사위원회 위원 제외),61000.0,81000.0
347,(주)SNT홀딩스,36530,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",134000.0,96000.0
349,(주)SNT홀딩스,36530,2017/12,사외이사 (감사위원회 위원 제외),62000.0,96000.0
352,(주)SNT홀딩스,36530,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",140000.0,104000.0
353,(주)SNT홀딩스,36530,2018/12,사외이사 (감사위원회 위원 제외),61000.0,104000.0
355,(주)SNT홀딩스,36530,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",218000.0,126000.0
357,(주)SNT홀딩스,36530,2019/12,사외이사 (감사위원회 위원 제외),61000.0,126000.0
359,(주)SNT홀딩스,36530,2020/12,사외이사 (감사위원회 위원 제외),60000.0,121000.0
361,(주)SNT홀딩스,36530,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",216000.0,121000.0
363,(주)SNT홀딩스,36530,2021/12,사외이사 (감사위원회 위원 제외),61000.0,141000.0
364,(주)SNT홀딩스,36530,2021/12,"등기이사(사외이사,감사위원회 위원 제외)",206000.0,141000.0
369,(주)STX,11810,2011/12,등기이사,1222000.0,47000.0
370,(주)STX,11810,2012/12,등기이사,925000.0,55000.0
375,(주)STX,11810,2014/12,등기이사,110000.0,47000.0
380,(주)STX,11810,2015/12,등기이사,246000.0,46000.0
381,(주)STX,11810,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",240000.0,56000.0
382,(주)STX,11810,2016/12,사외이사 (감사위원회 위원 제외),39000.0,56000.0
386,(주)STX,11810,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",168000.0,54000.0
387,(주)STX,11810,2017/12,사외이사 (감사위원회 위원 제외),37000.0,54000.0
389,(주)STX,11810,2018/12,사외이사 (감사위원회 위원 제외),39000.0,64000.0
392,(주)STX,11810,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",119000.0,64000.0
394,(주)STX,11810,2019/12,사외이사 (감사위원회 위원 제외),36000.0,55000.0
396,(주)STX,11810,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",82000.0,55000.0
399,(주)STX,11810,2020/12,사외이사 (감사위원회 위원 제외),36000.0,71000.0
400,(주)STX,11810,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",65000.0,71000.0
401,(주)STX,11810,2021/12,"등기이사(사외이사,감사위원회 위원 제외)",111000.0,71000.0
402,(주)STX,11810,2021/12,사외이사 (감사위원회 위원 제외),36000.0,71000.0
405,(주)TCC스틸,2710,2011/12,등기이사,328000.0,58000.0
409,(주)TCC스틸,2710,2012/12,등기이사,371000.0,57000.0
414,(주)TCC스틸,2710,2013/12,등기이사,356000.0,59000.0
415,(주)TCC스틸,2710,2014/12,등기이사,418000.0,63000.0
422,(주)TCC스틸,2710,2015/12,등기이사,452000.0,66000.0
423,(주)TCC스틸,2710,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",132000.0,67000.0
424,(주)TCC스틸,2710,2016/12,사외이사 (감사위원회 위원 제외),33000.0,67000.0
427,(주)TCC스틸,2710,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",235000.0,65000.0
428,(주)TCC스틸,2710,2017/12,사외이사 (감사위원회 위원 제외),44000.0,65000.0
432,(주)TCC스틸,2710,2018/12,사외이사 (감사위원회 위원 제외),36000.0,77000.0
433,(주)TCC스틸,2710,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",402000.0,77000.0
437,(주)TCC스틸,2710,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",388000.0,76000.0
438,(주)TCC스틸,2710,2019/12,사외이사 (감사위원회 위원 제외),36000.0,76000.0
439,(주)TCC스틸,2710,2020/12,사외이사 (감사위원회 위원 제외),36000.0,73000.0
441,(주)TCC스틸,2710,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",379000.0,73000.0
444,(주)TCC스틸,2710,2021/12,"등기이사(사외이사,감사위원회 위원 제외)",653000.0,80000.0
445,(주)TCC스틸,2710,2021/12,사외이사 (감사위원회 위원 제외),36000.0,80000.0
447,(주)가비아,79940,2011/12,등기이사,176000.0,34679.0
448,(주)가비아,79940,2012/12,등기이사,267899.0,36165.0
450,(주)가비아,79940,2012/12,사외 이사,0.0,36165.0
451,(주)가비아,79940,2013/12,등기이사,219017.0,40533.0
458,(주)가비아,79940,2014/12,등기이사,433000.0,43153.0
460,(주)가비아,79940,2015/12,등기이사,276800.0,43159.0
465,(주)가비아,79940,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",328310.0,48205.0
466,(주)가비아,79940,2016/12,사외이사 (감사위원회 위원 제외),0.0,48205.0
467,(주)가비아,79940,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",230060.0,50208.0
470,(주)가비아,79940,2017/12,사외이사 (감사위원회 위원 제외),0.0,50208.0
473,(주)가비아,79940,2018/12,사외이사 (감사위원회 위원 제외),0.0,50517.0
474,(주)가비아,79940,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",0.0,50517.0
477,(주)가비아,79940,2019/12,사외이사 (감사위원회 위원 제외),0.0,54536.0
478,(주)가비아,79940,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",407605.0,54536.0
480,(주)가비아,79940,2020/12,사외이사 (감사위원회 위원 제외),20000.0,53246.0
482,(주)가비아,79940,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",286477.0,53246.0
484,(주)가비아,79940,2021/12,"등기이사(사외이사,감사위원회 위원 제외)",284445.0,59885.0
485,(주)가비아,79940,2021/12,사외이사 (감사위원회 위원 제외),36000.0,59885.0
489,(주)강스템바이오텍,217730,2015/12,등기이사,165334.0,30172.0
491,(주)강스템바이오텍,217730,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",568375.0,68395.0
494,(주)강스템바이오텍,217730,2016/12,사외이사 (감사위원회 위원 제외),18000.0,68395.0
495,(주)강스템바이오텍,217730,2017/12,사외이사 (감사위원회 위원 제외),69900.0,54692.0
496,(주)강스템바이오텍,217730,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",322731.0,54692.0
499,(주)강스템바이오텍,217730,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",146913.0,55476.0
501,(주)강스템바이오텍,217730,2018/12,사외이사 (감사위원회 위원 제외),24000.0,55476.0
504,(주)강스템바이오텍,217730,2019/12,사외이사 (감사위원회 위원 제외),24000.0,47981.0
505,(주)강스템바이오텍,217730,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",176563.0,47981.0
507,(주)강스템바이오텍,217730,2020/12,사외이사 (감사위원회 위원 제외),24000.0,53000.0
508,(주)강스템바이오텍,217730,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",155000.0,53000.0
511,(주)강스템바이오텍,217730,2021/12,사외이사 (감사위원회 위원 제외),18000.0,42000.0
512,(주)강스템바이오텍,217730,2021/12,"등기이사(사외이사,감사위원회 위원 제외)",162000.0,42000.0
517,(주)강원랜드,35250,2011/12,등기이사,98511.0,54016.0
519,(주)강원랜드,35250,2012/12,등기이사,141036.0,59976.0
522,(주)강원랜드,35250,2013/12,등기이사,148194.0,53055.0
527,(주)강원랜드,35250,2014/12,등기이사,19332.0,59996.0
529,(주)강원랜드,35250,2015/12,등기이사,217485.0,61050.0
533,(주)강원랜드,35250,2016/12,사외이사 (감사위원회 위원 제외),25606.0,64535.0
535,(주)강원랜드,35250,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",217485.0,64535.0
537,(주)강원랜드,35250,2017/12,사외이사 (감사위원회 위원 제외),15862.0,65283.0
540,(주)강원랜드,35250,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",178659.0,65283.0
541,(주)강원랜드,35250,2018/12,사외이사 (감사위원회 위원 제외),22370.0,48821.0
542,(주)강원랜드,35250,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",95223.0,48821.0
547,(주)강원랜드,35250,2019/12,사외이사 (감사위원회 위원 제외),28999.0,52287.0
548,(주)강원랜드,35250,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",160760.0,52287.0
549,(주)강원랜드,35250,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",137859.0,66741.0
552,(주)강원랜드,35250,2020/12,사외이사 (감사위원회 위원 제외),29021.0,66741.0
553,(주)강원랜드,35250,2021/12,"등기이사(사외이사,감사위원회 위원 제외)",177667.0,66380.0
555,(주)강원랜드,35250,2021/12,사외이사 (감사위원회 위원 제외),29192.0,66380.0
557,(주)강원에너지,114190,2011/11,등기이사,114571.0,52635.0
562,(주)강원에너지,114190,2011/12,등기이사,7784.0,37506.0
565,(주)강원에너지,114190,2012/12,등기이사,114674.0,59797.0
566,(주)강원에너지,114190,2013/12,등기이사,133486.0,48002.0
570,(주)강원에너지,114190,2014/12,등기이사,156000.0,41641.0
574,(주)강원에너지,114190,2015/12,등기이사,148000.0,46299.0
578,(주)강원에너지,114190,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",187000.0,47199.0
579,(주)강원에너지,114190,2016/12,사외이사 (감사위원회 위원 제외),25000.0,47199.0
582,(주)강원에너지,114190,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",129000.0,46649.0
583,(주)강원에너지,114190,2017/12,사외이사 (감사위원회 위원 제외),22000.0,46649.0
587,(주)강원에너지,114190,2018/12,사외이사 (감사위원회 위원 제외),26000.0,46415.0
589,(주)강원에너지,114190,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",123000.0,46415.0
590,(주)강원에너지,114190,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",93102.0,57213.0
591,(주)강원에너지,114190,2019/12,사외이사 (감사위원회 위원 제외),16790.0,57213.0
595,(주)강원에너지,114190,2020/12,사외이사 (감사위원회 위원 제외),0.0,39503.0
596,(주)강원에너지,114190,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",24343.0,39503.0
599,(주)강원에너지,114190,2021/12,"등기이사(사외이사,감사위원회 위원 제외)",0.0,53395.0
600,(주)강원에너지,114190,2021/12,사외이사 (감사위원회 위원 제외),0.0,53395.0
603,(주)갤럭시아에스엠,11420,2011/12,등기이사,59000.0,84000.0
604,(주)갤럭시아에스엠,11420,2012/12,등기이사,56000.0,63000.0
607,(주)갤럭시아에스엠,11420,2013/12,등기이사,43000.0,58666.0
613,(주)갤럭시아에스엠,11420,2014/12,등기이사,55000.0,43000.0
616,(주)갤럭시아에스엠,11420,2015/12,등기이사,75000.0,45000.0
621,(주)갤럭시아에스엠,11420,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",48000.0,40000.0
622,(주)갤럭시아에스엠,11420,2016/12,사외이사 (감사위원회 위원 제외),12000.0,40000.0
624,(주)갤럭시아에스엠,11420,2017/12,사외이사 (감사위원회 위원 제외),12000.0,52000.0
625,(주)갤럭시아에스엠,11420,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",46000.0,52000.0
628,(주)갤럭시아에스엠,11420,2018/12,사외이사 (감사위원회 위원 제외),12000.0,49000.0
629,(주)갤럭시아에스엠,11420,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",82000.0,49000.0
632,(주)갤럭시아에스엠,11420,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",82000.0,47000.0
633,(주)갤럭시아에스엠,11420,2019/12,사외이사 (감사위원회 위원 제외),12000.0,47000.0
636,(주)갤럭시아에스엠,11420,2020/12,사외이사 (감사위원회 위원 제외),9000.0,49000.0
638,(주)갤럭시아에스엠,11420,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",45000.0,49000.0
640,(주)갤럭시아에스엠,11420,2021/12,"등기이사(사외이사,감사위원회 위원 제외)",58000.0,48000.0
642,(주)갤럭시아에스엠,11420,2021/12,사외이사 (감사위원회 위원 제외),12000.0,48000.0
644,(주)경농,2100,2011/12,등기이사,360750.0,48183.0
646,(주)경농,2100,2012/12,등기이사,357541.0,45079.0
649,(주)경농,2100,2013/12,등기이사,409022.0,47617.0
654,(주)경농,2100,2014/12,등기이사,422755.0,46938.0
657,(주)경농,2100,2015/12,등기이사,427773.0,47961.0
661,(주)경농,2100,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",424063.0,49020.0
663,(주)경농,2100,2016/12,사외이사 (감사위원회 위원 제외),50319.0,49020.0
666,(주)경농,2100,2017/12,사외이사 (감사위원회 위원 제외),39116.0,48768.0
668,(주)경농,2100,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",431756.0,48768.0
669,(주)경농,2100,2018/12,사외이사 (감사위원회 위원 제외),39494.0,48674.0
672,(주)경농,2100,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",424549.0,48674.0
673,(주)경농,2100,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",435007.0,49353.0
676,(주)경농,2100,2019/12,사외이사 (감사위원회 위원 제외),39570.0,49353.0
677,(주)경농,2100,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",441353.0,50157.0
679,(주)경농,2100,2020/12,사외이사 (감사위원회 위원 제외),29584.0,50157.0
683,(주)경농,2100,2021/12,사외이사 (감사위원회 위원 제외),25044.0,49810.0
684,(주)경농,2100,2021/12,"등기이사(사외이사,감사위원회 위원 제외)",613543.0,49810.0
686,(주)경동나비엔,9450,2011/12,등기이사,188000.0,40000.0
688,(주)경동나비엔,9450,2012/12,등기이사,150000.0,42000.0
694,(주)경동나비엔,9450,2013/12,등기이사,139000.0,38000.0
695,(주)경동나비엔,9450,2014/12,등기이사,149000.0,40000.0
702,(주)경동나비엔,9450,2015/12,등기이사,177000.0,48000.0
703,(주)경동나비엔,9450,2016/12,사외이사 (감사위원회 위원 제외),33000.0,43000.0
705,(주)경동나비엔,9450,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",256000.0,43000.0
707,(주)경동나비엔,9450,2017/12,사외이사 (감사위원회 위원 제외),36000.0,51000.0
708,(주)경동나비엔,9450,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",164000.0,51000.0
712,(주)경동나비엔,9450,2018/12,사외이사 (감사위원회 위원 제외),27000.0,50000.0
714,(주)경동나비엔,9450,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",89000.0,50000.0
715,(주)경동나비엔,9450,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",96000.0,48000.0
716,(주)경동나비엔,9450,2019/12,사외이사 (감사위원회 위원 제외),36000.0,48000.0
719,(주)경동나비엔,9450,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",109000.0,57003.0
