회사명,거래소코드,회계년도,[제조]비유동비율(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]유동부채비율(IFRS연결),[제조]차입금비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]유보액대비율(IFRS연결),[제조]유보액 대 납입자본배율(IFRS연결),[제조]투자집중도(IFRS연결)
(주)강원랜드,035250,2020/12,66.01,454.03,453.38,20.02,12.15,10.16,1.98,-230.09,91.01,30.98,590.36
(주)강원랜드,035250,2021/12,66.72,326.99,326.31,40.73,17.66,15.58,1.95,-30.79,86.74,31.04,372.47
(주)강원에너지,114190,2011/11,,,,,,,,,,,
(주)강원에너지,114190,2011/12,,,,,,,,,,,
(주)강원에너지,114190,2012/12,,,,,,,,,,,
(주)강원에너지,114190,2013/12,,,,,,,,,,,
(주)강원에너지,114190,2014/12,,,,,,,,,,,
(주)강원에너지,114190,2015/12,39.82,333.65,327.11,169.33,51.03,33.33,17.67,187.51,57.29,6.42,165.1
(주)강원에너지,114190,2016/12,42.6,444.3,441.52,131.49,40.11,21.95,18.16,-241.54,61.49,6.22,157.85
(주)강원에너지,114190,2017/12,51.99,202.02,200.95,41.76,92.91,69.76,22.72,-26.56,43.65,5.33,97.92
(주)강원에너지,114190,2018/12,46.39,161.8,160.55,45.27,86.93,86.86,48.69,0.2,45.31,5.53,95.9
(주)강원에너지,114190,2019/12,123.35,99.04,98.65,11.8,167.94,145.99,88.19,-8.38,21.91,1.42,99.19
(주)강원에너지,114190,2020/12,67.13,172.82,171.06,71.79,92.84,72.74,32.82,-19.76,24.32,0.88,78.59
(주)강원에너지,114190,2021/12,,,,,,,,,,,
(주)갤럭시아에스엠,011420,2011/12,80.92,157.4,157.27,55.23,78.49,61.98,7.52,6.31,34.28,1.58,79.08
(주)갤럭시아에스엠,011420,2012/12,74.21,184.17,183.89,58.88,69.76,51.88,13.32,3.79,36.6,1.64,63.94
(주)갤럭시아에스엠,011420,2013/12,82.52,147.37,146.43,23.83,75.11,62.83,20.58,1.9,31.04,1.19,64.94
(주)갤럭시아에스엠,011420,2014/12,79.86,149.66,146.81,14.51,95.1,77,19,-0.88,29.58,1.37,83.2
(주)갤럭시아에스엠,011420,2015/12,48.78,263.29,263.23,130.53,38.09,33.92,2.77,5.69,52.36,2.61,88.54
(주)갤럭시아에스엠,011420,2016/12,45.75,304.3,304.3,155.01,30.32,27.79,0.94,-18.76,53.16,2.26,90.11
(주)갤럭시아에스엠,011420,2017/12,52.06,328.78,328.78,112.85,23.06,21.59,0,-35.52,53.62,1.94,93.43
(주)갤럭시아에스엠,011420,2018/12,71.78,213.65,213.65,121.27,25.62,25.2,0,-157.86,38.18,0.92,81.22
(주)갤럭시아에스엠,011420,2019/12,66.96,216.18,216.18,120.35,29.56,28.95,0.11,-8.95,28.41,0.58,60.81
(주)갤럭시아에스엠,011420,2020/12,,,,,,,,,,,
(주)갤럭시아에스엠,011420,2021/12,,,,,,,,,,,
(주)경농,002100,2011/12,55.54,379.4,97.18,46.64,21.53,17.39,0.05,4.52,79.93,12.81,122.32
(주)경농,002100,2012/12,83.63,138.53,38.82,19.56,77.55,67.8,46.29,5.6,54.81,13.62,180.99
(주)경농,002100,2013/12,77.51,178.73,42.31,14.09,56.89,44.42,28.13,4.81,62.15,14.67,121.04
(주)경농,002100,2014/12,85.83,154.43,45.72,17.54,68.5,53.53,36.94,4.53,57.87,15.19,139.85
(주)경농,002100,2015/12,88.83,140.92,39.99,13.08,81.11,65.49,49.68,3.96,53.57,15.62,149.92
(주)경농,002100,2016/12,89.61,138.91,35.77,8.46,74.44,61.07,41.82,3.5,55.71,16.48,142.8
(주)경농,002100,2017/12,89.74,135,36.12,10.61,74.8,63.01,41.39,2.8,55.66,17.24,151.28
(주)경농,002100,2018/12,92.96,132.49,38.2,9.58,77.34,63.69,41.98,5.16,54.93,18.09,155.44
(주)경농,002100,2019/12,92.06,150.9,41.85,9.67,83.71,60.73,46.81,2.2,53.03,18.13,149.7
(주)경농,002100,2020/12,84.7,143.61,40.76,9.95,75.77,63.41,38.96,5.1,55.49,19.01,138.56
(주)경농,002100,2021/12,76.96,167.85,56.76,21.42,64.18,51.96,33.82,7.1,58.75,21.06,133.92
(주)경동나비엔,009450,2011/12,79.53,158.59,84.15,40.2,56.57,48.58,9.34,12,59.6,12.31,71.51
(주)경동나비엔,009450,2012/12,87.77,145.1,85.68,40.75,70.42,56.97,14.15,11.7,54.64,12.86,70.91
(주)경동나비엔,009450,2013/12,117.86,89.68,41.69,11.26,89.44,79.81,25.87,14.4,49.38,13.75,64.48
(주)경동나비엔,009450,2014/12,127.2,85.84,41.02,10.51,111.38,98.05,55.37,4.93,44.3,13.97,83.21
(주)경동나비엔,009450,2015/12,118.32,89.35,40.12,10.2,95.11,85.95,33.49,6.98,48.25,15.23,71
(주)경동나비엔,009450,2016/12,106.52,98.83,48.13,12.57,79.99,74.34,13.95,25.05,52.74,17.79,66.16
(주)경동나비엔,009450,2017/12,106.35,105.03,54.82,13.08,96.37,85.71,23.5,30.33,48.52,19.19,66.25
(주)경동나비엔,009450,2018/12,105.89,104.32,49.78,9.54,108.35,98.22,42.57,11.32,45.92,21.04,72.42
(주)경동나비엔,009450,2019/12,111.46,101.49,50.38,7.85,102.57,89.77,32.43,11.06,47.38,22.68,73.11
(주)경동나비엔,009450,2020/12,107.5,106.64,53.98,11.02,111.02,97.07,40.91,16.97,45.63,24.64,77.39
(주)경동나비엔,009450,2021/12,101.75,109.4,49.07,10.21,107.34,96.52,26.72,19.28,46.74,29.96,76.67
(주)경동도시가스,267290,2017/12,,,,,,,,,,,
(주)경동도시가스,267290,2018/12,104.23,118.17,117.83,31.25,142.84,117.29,4.29,98.82,39.68,26.19,48.07
(주)경동도시가스,267290,2019/12,104.49,123.03,122.62,30.73,120.84,94.57,7.75,29.28,43.34,22.05,51.98
(주)경동도시가스,267290,2020/12,104.06,126.07,125.6,24.61,96.16,73.05,6.37,18.35,48.9,23.21,62.79
(주)경동도시가스,267290,2021/12,99.63,117.42,117.11,35.29,140.93,120.33,5.82,32.06,39.9,24.48,60.9
(주)경동인베스트,012320,2011/12,95.89,124.89,123.61,24.93,145.55,119.83,12.88,11.03,38.99,22.41,49.92
(주)경동인베스트,012320,2012/12,88.66,125.27,122.11,31.26,170.97,145.53,10.66,17.71,35.47,24.63,45.01
(주)경동인베스트,012320,2013/12,85.58,130.52,128.23,38.5,141.61,119.54,9.55,27.91,39.95,27.63,39.8
(주)경동인베스트,012320,2014/12,91.24,139.31,135.97,39.43,117.43,90.58,14.2,20.25,44.68,33.87,45.93
(주)경동인베스트,012320,2015/12,103.39,145.53,143.4,21.85,102.58,68.16,25.72,-4.35,47.88,32.09,63.26
(주)경동인베스트,012320,2016/12,104.97,150.74,147.5,24.15,91.54,57.43,25.12,7.92,51.82,33.49,87.09
(주)경동인베스트,012320,2017/12,90.14,307.43,289.07,25.46,49.67,19.36,32.68,9.05,66.05,33.47,222.35
(주)경동인베스트,012320,2018/12,101.43,240.34,201.18,27.97,48.79,19.71,29.11,10.67,66.43,33.26,165.19
(주)경동인베스트,012320,2019/12,89.01,279.32,242.92,28.5,46.06,20.42,24.21,5.29,67.81,34.72,153.81
(주)경동인베스트,012320,2020/12,81.76,318.21,275.22,28.01,36.8,17.3,18.38,6.48,72.83,36.29,120.83
(주)경동인베스트,012320,2021/12,78.54,379.91,325.12,28.9,31.37,13.9,14.2,5.6,75.85,37.05,120.58
(주)경방,000050,2011/12,192.73,34.1,16.15,3.14,114.76,64.58,65.14,1.15,45.87,59.64,131.35
(주)경방,000050,2012/12,195.16,74.98,42.91,6.86,115.08,26.57,66.91,0.36,45.79,58.78,131.93
(주)경방,000050,2013/12,187.54,76.48,46.74,8.11,103.79,21.25,57.41,2.58,48.11,50.07,120.03
(주)경방,000050,2014/12,185.37,24.73,15.5,2.01,101,63.21,57.74,2.47,48.7,46.25,121.83
(주)경방,000050,2015/12,182.6,58.13,29.7,3.66,98.9,28.05,56.33,3.9,49.24,47.36,123.06
(주)경방,000050,2016/12,175.91,68.2,38.72,4.84,91.5,22.86,48.07,5.54,51.17,48.6,112.18
(주)경방,000050,2017/12,169.32,28.25,18.26,2.97,82.23,45.7,40.89,6.35,53.8,50,105.41
(주)경방,000050,2018/12,166.64,73.99,37.34,3.81,83.67,23.02,43.44,5.13,53.82,51.11,119.15
(주)경방,000050,2019/12,149.13,137.68,121.4,6.76,84.85,25.94,42.29,3.59,53.92,53.92,75.17
(주)경방,000050,2020/12,154.67,41.08,31.77,13.84,70.49,38.5,29.48,3.24,58.76,54.22,79.76
(주)경방,000050,2021/12,152.27,54.4,35.92,5.55,68.96,30.67,33.09,13.04,60.34,55.94,67.61
(주)경보제약,214390,2015/12,,,,,,,,,,,
(주)경보제약,214390,2016/12,,,,,,,,,,,
(주)경보제약,214390,2017/12,,,,,,,,,,,
(주)경보제약,214390,2018/12,,,,,,,,,,,
(주)경보제약,214390,2019/12,,,,,,,,,,,
(주)경보제약,214390,2020/12,,,,,,,,,,,
