회사명,거래소코드,회계년도,[제조]자산(*)(IFRS연결),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),배당금_현금,[제조]      장기차입금(*)(IFRS연결),[제조]매출액증가율(IFRS연결)
(주)경동도시가스,267290,2020/12,699658165,314378,5154124,7802650,-23.61
(주)경동도시가스,267290,2021/12,904491766,138736973,5154124,6937975,0
(주)경동인베스트,012320,2011/12,1001490869,88589199,3832000,38332383,35.8
(주)경동인베스트,012320,2012/12,1209924561,150571070,4355000,35850519,35.45
(주)경동인베스트,012320,2013/12,1205008353,69233629,4354986,29855917,11.41
(주)경동인베스트,012320,2014/12,1320789066,20818461,4354986,56403180,-6.64
(주)경동인베스트,012320,2015/12,1167819522,-50279018,4354986,107469867,-38.37
(주)경동인베스트,012320,2016/12,1126122628,26876328,4150078,99594003,-26.32
(주)경동인베스트,012320,2017/12,599276331,60158090,1136564,83460730,-83.5
(주)경동인베스트,012320,2018/12,592002536,12513851,1136564,71906166,17.21
(주)경동인베스트,012320,2019/12,605467383,32390710,1129116,62256400,18.86
(주)경동인베스트,012320,2020/12,589277835,18457523,1090176,43417590,14.27
(주)경동인베스트,012320,2021/12,577693061,25395956,1635264,35541100,-3.89
(주)경방,000050,2011/12,1352324332,-14647398,,52825075,2.59
(주)경방,000050,2012/12,1335039930,17789061,,297503511,-4.17
(주)경방,000050,2013/12,1296989142,51153970,623075,275230163,4.07
(주)경방,000050,2014/12,1301841379,23819336,1370764,9985627,-5.23
(주)경방,000050,2015/12,1318643312,39920580,3426909,235918778,8.69
(주)경방,000050,2016/12,1301910960,67981079,4934749,225494443,5.54
(주)경방,000050,2017/12,1274042237,57866501,4934749,16667775,-4.41
(주)경방,000050,2018/12,1301792841,12093896,3371475,165400578,-2.59
(주)경방,000050,2019/12,1370742491,66875285,3301909,149162959,-2.15
(주)경방,000050,2020/12,1264902051,33635651,3251909,34348613,-4.27
(주)경방,000050,2021/12,1270805118,20910159,3130605,101195365,0
(주)경보제약,214390,2015/12,,,6574386,,
(주)경보제약,214390,2016/12,,,4781372,,
(주)경보제약,214390,2017/12,,,5976715,,
(주)경보제약,214390,2018/12,,,4781372,,
(주)경보제약,214390,2019/12,,,2390686,,
(주)경보제약,214390,2020/12,,,2390686,,
(주)경보제약,214390,2021/12,,,1195343,,
(주)경인양행,012610,2011/12,319596954,9839673,1845000,18002059,-12.89
(주)경인양행,012610,2012/12,287452678,20801833,1796000,415000,-6.22
(주)경인양행,012610,2013/12,316944796,1046809,1942820,2415000,19.31
(주)경인양행,012610,2014/12,313039125,18368986,1951320,12485227,6.28
(주)경인양행,012610,2015/12,326687437,5444861,1951820,439220,-5.06
(주)경인양행,012610,2016/12,344298515,19013689,1976820,760665,4.45
(주)경인양행,012610,2017/12,357951470,5323456,1984320,8360241,9.14
(주)경인양행,012610,2018/12,412996589,1873412,2007820,19416459,10.37
(주)경인양행,012610,2019/12,472081003,6768170,2034338,30503057,8.37
(주)경인양행,012610,2020/12,505102151,54551658,2058838,44110607,-8.22
(주)경인양행,012610,2021/12,579492465,9230963,2073838,43499598,22.48
(주)고려시멘트,198440,2014/12,,,,,
(주)고려시멘트,198440,2015/12,,,,,
(주)고려시멘트,198440,2016/12,,,,,
(주)고려시멘트,198440,2017/12,,,1596156,,
(주)고려시멘트,198440,2018/12,,,1119299,,
(주)고려시멘트,198440,2019/12,,,479699,,
(주)고려시멘트,198440,2020/12,,,479699,,
(주)고려시멘트,198440,2021/12,,,479699,,
(주)고바이오랩,348150,2020/12,58537097,-12770564,,0,0
(주)고바이오랩,348150,2021/12,105285475,-12480855,,0,-36.98
(주)고영테크놀러지,098460,2011/12,87006201,13903738,1725000,0,18.06
(주)고영테크놀러지,098460,2012/12,103351965,11397833,1775000,0,25.21
(주)고영테크놀러지,098460,2013/12,120951617,13282913,3134472,0,3.77
(주)고영테크놀러지,098460,2014/12,141720465,25603240,3988511,255725,27.65
(주)고영테크놀러지,098460,2015/12,158857627,16569102,3990461,108243,2.15
(주)고영테크놀러지,098460,2016/12,195121241,29234878,5333015,0,17.74
(주)고영테크놀러지,098460,2017/12,205207385,19941301,9160000,0,18.38
(주)고영테크놀러지,098460,2018/12,279059436,21765311,8787061,0,17.13
(주)고영테크놀러지,098460,2019/12,305481184,29168422,7428890,0,-6.78
(주)고영테크놀러지,098460,2020/12,302574461,37796430,7436040,1071314,-19.14
(주)고영테크놀러지,098460,2021/12,368329267,42480323,8112044,6133000,0
(주)골드앤에스,035290,2011/12,46677146,8628850,,0,-5.87
(주)골드앤에스,035290,2012/12,51950606,2478990,,0,-7.65
(주)골드앤에스,035290,2013/12,51442505,-204052,,4878557,-9.89
(주)골드앤에스,035290,2014/12,46528474,-991208,,2702826,-20.89
(주)골드앤에스,035290,2015/12,24102094,1708284,,0,-29.05
(주)골드앤에스,035290,2016/12,18671644,1679723,,0,-28.4
(주)골드앤에스,035290,2017/12,17173934,361216,,0,-19.45
(주)골드앤에스,035290,2018/12,42472631,-3136830,,0,-32.19
(주)골드앤에스,035290,2020/12,20634172,-498313,,0,-45.85
(주)골드앤에스,035290,2021/12,26144813,2035559,,0,226.35
(주)골드퍼시픽,038530,2011/12,,,,,
(주)골드퍼시픽,038530,2012/12,,,,,
(주)골드퍼시픽,038530,2013/12,33687572,-2334044,,2190540,0
(주)골드퍼시픽,038530,2014/12,41948832,-4905537,,2114583,0
(주)골드퍼시픽,038530,2015/12,28573328,-5635841,,149996,13.04
(주)골드퍼시픽,038530,2016/12,,,,,
(주)골드퍼시픽,038530,2017/12,,,,,
(주)골드퍼시픽,038530,2018/12,37825442,-3626992,,5440000,0
(주)골드퍼시픽,038530,2019/12,,,,,
(주)골드퍼시픽,038530,2020/12,,,,,
(주)골드퍼시픽,038530,2021/12,,,,,
(주)골프존,215000,2015/12,178132253,44345997,25089880,15000000,
(주)골프존,215000,2016/12,187914226,35237011,10035952,7499970,0
(주)골프존,215000,2017/12,253672419,80376887,15053928,9166650,-7.77
(주)골프존,215000,2018/12,254057808,32883976,11604070,833330,-0.7
(주)골프존,215000,2019/12,312587283,39501603,12858564,0,24.31
(주)골프존,215000,2020/12,367293667,87402396,15681175,0,20.85
(주)골프존,215000,2021/12,483601164,136071287,21953645,0,47.5
(주)골프존뉴딘홀딩스,121440,2011/12,378054302,46128334,9443000,493741,13.4
(주)골프존뉴딘홀딩스,121440,2012/12,540922890,61269978,14164000,0,34.22
(주)골프존뉴딘홀딩스,121440,2013/12,637840057,63430820,14739628,0,26.07
(주)골프존뉴딘홀딩스,121440,2014/12,762037240,28790402,18355220,75000000,17.66
(주)골프존뉴딘홀딩스,121440,2015/12,767325175,-15266617,24800337,103000000,-61.7
(주)골프존뉴딘홀딩스,121440,2016/12,760772930,15895535,5002827,75000000,47.86
(주)골프존뉴딘홀딩스,121440,2017/12,756500949,-1173648,5002827,121107143,-12.13
(주)골프존뉴딘홀딩스,121440,2018/12,774743339,-20158087,5002827,45693452,4.34
(주)골프존뉴딘홀딩스,121440,2019/12,776384700,5656323,5002827,186266105,2.64
(주)골프존뉴딘홀딩스,121440,2020/12,795768970,25586892,5002827,189345365,27.56
(주)골프존뉴딘홀딩스,121440,2021/12,939417561,21104190,5986288,67890408,43.03
(주)광림,014200,2011/12,,,606000,,
(주)광림,014200,2012/12,,,,,
(주)광림,014200,2013/12,,,,,
(주)광림,014200,2014/12,244886480,-6344996,,19923952,0
(주)광림,014200,2015/12,,,,,
(주)광림,014200,2016/12,229596737,3288372,,313681,0
(주)광림,014200,2017/12,208058303,-15250032,,562200,54.85
(주)광림,014200,2018/12,187812629,-13294713,,1900000,1.04
(주)광림,014200,2019/12,252468254,-12235587,,6239252,6.79
(주)광림,014200,2020/12,212123388,25092530,,2411005,10.53
(주)광림,014200,2021/12,268834328,9903828,,879845,16.88
(주)광명전기,017040,2011/12,123886511,1765403,,425000,-10.75
(주)광명전기,017040,2012/12,131064345,3436380,,325000,26.88
(주)광명전기,017040,2013/12,120910764,3129414,,225000,0.54
(주)광명전기,017040,2014/12,138580023,11464334,,0,14.36
(주)광명전기,017040,2015/12,131457603,18501076,,0,-13.7
(주)광명전기,017040,2016/12,146859319,4502682,,0,-16.66
(주)광명전기,017040,2017/12,152717140,6647411,,9358000,4.76
(주)광명전기,017040,2018/12,151823119,-3815893,,10802000,12.36
(주)광명전기,017040,2019/12,156712705,20495932,650064,0,15.56
(주)광명전기,017040,2020/12,165884690,5269896,650064,0,-6.31
(주)광명전기,017040,2021/12,169926627,-2536009,433376,0,10.96
(주)광무,029480,2011/12,75946478,8460656,,0,0
(주)광무,029480,2012/12,55788602,-5808549,,0,0
(주)광무,029480,2013/12,35384615,-971186,,0,-50.13
(주)광무,029480,2014/12,,,,,
(주)광무,029480,2015/12,,,,,
(주)광무,029480,2016/12,,,,,
(주)광무,029480,2017/12,,,,,
(주)광무,029480,2018/12,28431748,-1324743,,0,0
(주)광무,029480,2019/12,63139837,-2435580,,0,58.11
(주)광무,029480,2020/12,38625151,-1312547,,0,-30.99
(주)광무,029480,2021/12,104044336,-1066561,,578500,-24.85
(주)광주신세계,037710,2011/12,,,2000000,,
(주)광주신세계,037710,2012/12,,,2000000,,
(주)광주신세계,037710,2013/12,,,2000000,,
(주)광주신세계,037710,2014/12,,,2000000,,
(주)광주신세계,037710,2015/12,,,2000000,,
(주)광주신세계,037710,2016/12,,,2000000,,
(주)광주신세계,037710,2017/12,,,2000000,,
(주)광주신세계,037710,2018/12,,,4800000,,
(주)광주신세계,037710,2019/12,,,5570033,,
(주)광주신세계,037710,2020/12,,,5570033,,
(주)광주신세계,037710,2021/12,,,13527223,,
(주)구스앤홈,329050,2019/12,,,,,
(주)구스앤홈,329050,2020/12,,,,,
(주)구영테크,053270,2011/12,149471330,1574250,,3906227,-1.8
(주)구영테크,053270,2012/12,161163024,11791408,,4191949,5.38
(주)구영테크,053270,2013/12,149230187,11048296,,16281076,10.89
(주)구영테크,053270,2014/12,155857242,3399363,,16833438,-1.28
(주)구영테크,053270,2015/12,161330950,17308908,1837127,22945474,0.91
(주)구영테크,053270,2016/12,166748490,19282164,,30201160,-13.82
(주)구영테크,053270,2017/12,187009683,5515131,903894,42591378,1.03
(주)구영테크,053270,2018/12,202572970,3263344,740336,48148894,30.3
(주)구영테크,053270,2019/12,206569873,7656129,740336,35432257,18.24
