회사명,거래소코드,회계년도,[제조]매출액순이익률(IFRS연결),[제조]총자본순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]매출원가 대 매출액비율(IFRS연결),[제조]광고선전비 대 매출액비율(IFRS연결),[제조]유보율(IFRS연결)
(주)골프존,215000,2018/12,10.28,8.04,10.63,39.04,2.64,6117.72
(주)골프존,215000,2019/12,6.56,5.72,8.21,38,3.94,6281
(주)골프존,215000,2020/12,12.56,11.03,18.02,37.48,2.71,7062.46
(주)골프존,215000,2021/12,17.36,17.97,29.79,35.2,3.02,9079.4
(주)골프존뉴딘홀딩스,121440,2011/12,21.54,16.42,18.23,46.51,3.56,6014.29
(주)골프존뉴딘홀딩스,121440,2012/12,25.33,15.96,19.34,45.45,2.99,7035.94
(주)골프존뉴딘홀딩스,121440,2013/12,0.77,0.48,0.67,51.21,1.86,2204.23
(주)골프존뉴딘홀딩스,121440,2014/12,18.44,11.32,17.4,51.06,2.07,2555.25
(주)골프존뉴딘홀딩스,121440,2015/12,529.43,113.92,168.4,66.3,2.24,2466.63
(주)골프존뉴딘홀딩스,121440,2016/12,1.18,0.38,0.75,51.88,1.6,2369.49
(주)골프존뉴딘홀딩스,121440,2017/12,-10.1,-2.85,-4.2,52.85,1.87,2245.96
(주)골프존뉴딘홀딩스,121440,2018/12,-3.37,-0.98,-1.45,57.93,1.85,2169.84
(주)골프존뉴딘홀딩스,121440,2019/12,-15.22,-4.49,-6.89,61.42,1.13,2002.19
(주)골프존뉴딘홀딩스,121440,2020/12,9.75,3.62,6.14,60.22,0.51,2096.9
(주)골프존뉴딘홀딩스,121440,2021/12,32.53,15.66,25.23,57.94,0.49,2704.91
(주)광림,014200,2011/12,,,,,,
(주)광림,014200,2012/12,,,,,,
(주)광림,014200,2013/12,,,,,,
(주)광림,014200,2014/12,-0.1,-0.1,1.09,75.81,1.21,243.25
(주)광림,014200,2015/12,,,,,,
(주)광림,014200,2016/12,-2.17,-0.83,-1.92,85.91,0.14,307.7
(주)광림,014200,2017/12,-17.46,-10.79,-15.47,97.02,0.1,286.38
(주)광림,014200,2018/12,-20.82,-14.37,-26.58,89.71,0.01,209.82
(주)광림,014200,2019/12,-9.6,-6.36,-7.84,92.53,0.03,196.24
(주)광림,014200,2020/12,-14.78,-10.26,-31.28,85.05,0.04,156.04
(주)광림,014200,2021/12,-12.21,-9.57,-15.63,84.33,0.03,218.33
(주)광명전기,017040,2011/12,-1.98,-1.52,-2.51,87.79,0.2,157.54
(주)광명전기,017040,2012/12,0.35,0.32,1.23,87.52,0.12,162.87
(주)광명전기,017040,2013/12,5.49,5.14,9.64,83.77,0.16,190.16
(주)광명전기,017040,2014/12,6.76,7.02,12.46,85.16,0.08,227.5
(주)광명전기,017040,2015/12,7.64,6.59,8.63,84.82,0.07,258.36
(주)광명전기,017040,2016/12,11.96,8.33,11.75,90.5,0.04,312.88
(주)광명전기,017040,2017/12,-2.01,-1.36,-2.2,91.03,0.04,306.45
(주)광명전기,017040,2018/12,2.38,1.79,2.93,90.53,0.04,315.65
(주)광명전기,017040,2019/12,5.4,4.61,8.53,88.76,0.04,350.94
(주)광명전기,017040,2020/12,3.67,2.81,4.67,90.89,0.02,372.32
(주)광명전기,017040,2021/12,4.27,3.49,5.54,93.08,0.03,397.2
(주)광무,029480,2011/12,-96.85,-66,-131.02,81.64,3.02,-36.64
(주)광무,029480,2012/12,-25.96,-19.16,-36.23,81.98,0.15,383.6
(주)광무,029480,2013/12,-139.87,-63,-150,110.17,0.58,12
(주)광무,029480,2014/12,,,,,,
(주)광무,029480,2015/12,,,,,,
(주)광무,029480,2016/12,,,,,,
(주)광무,029480,2017/12,,,,,,
(주)광무,029480,2018/12,-22.19,-18.01,-51.67,77.01,0,-40.28
(주)광무,029480,2019/12,-17.6,-14.02,-38.68,59.95,0,267.89
(주)광무,029480,2020/12,-76.76,-37.98,-82.72,88.92,0,206.15
(주)광무,029480,2021/12,-4.01,-1.06,-2.02,82.21,0,346.92
(주)광주신세계,037710,2011/12,,,,,,
(주)광주신세계,037710,2012/12,,,,,,
(주)광주신세계,037710,2013/12,,,,,,
(주)광주신세계,037710,2014/12,,,,,,
(주)광주신세계,037710,2015/12,,,,,,
(주)광주신세계,037710,2016/12,,,,,,
(주)광주신세계,037710,2017/12,,,,,,
(주)광주신세계,037710,2018/12,,,,,,
(주)광주신세계,037710,2019/12,,,,,,
(주)광주신세계,037710,2020/12,,,,,,
(주)광주신세계,037710,2021/12,,,,,,
(주)구스앤홈,329050,2019/12,,,,,,
(주)구스앤홈,329050,2020/12,,,,,,
(주)구영테크,053270,2011/12,-0.44,-0.44,-1.4,87.75,0,481.69
