회사명,거래소코드,회계년도,[제조]비유동비율(IFRS),[제조]유동비율(IFRS),[제조]당좌비율(IFRS),[제조]현금비율(IFRS),[제조]부채비율(IFRS),[제조]유동부채비율(IFRS),[제조]차입금비율(IFRS),[제조]이자보상배율(이자비용)(IFRS),[제조]유보액대비율(IFRS),[제조]유보액 대 납입자본배율(IFRS),[제조]투자집중도(IFRS)
(주)경동인베스트,012320,2012/12,88.58,122.86,122.69,31.94,149.17,130.7,3.26,52.51,38.65,25.91,43.32
(주)경동인베스트,012320,2013/12,84.62,130.31,130.17,40.6,124.72,107.51,2.74,66.34,43,28.66,38.48
(주)경동인베스트,012320,2014/12,83.77,140.48,140.25,45.93,96.34,80.14,2.41,54.04,49.35,31.19,39.31
(주)경동인베스트,012320,2015/12,85.09,155.88,155.56,23.7,68.89,53.75,2.73,29.77,57.33,30.48,58.55
(주)경동인베스트,012320,2016/12,91.5,151.9,151.5,24.66,62.48,46.73,2.74,28.09,61.06,31.67,72.05
(주)경동인베스트,012320,2017/12,66.85,18036.28,18036.28,490.09,2.66,0.2,0,999999999,95.97,25.81,20712.07
(주)경동인베스트,012320,2018/12,88.28,10528.72,10508.04,1543.24,2.69,0.14,0,-1131.58,95.94,25.86,852.91
(주)경동인베스트,012320,2019/12,88.2,573.42,571.15,10.84,2.68,2.53,0.09,-4.64,96.13,25.74,610.73
(주)경동인베스트,012320,2020/12,88.97,3110.59,3096.31,45.25,0.47,0.37,0.09,24.34,99.01,25.7,570.16
(주)경동인베스트,012320,2021/12,88.31,5001.46,4984.21,269.89,0.39,0.24,0.06,34.4,99.09,25.64,518.29
(주)경방,000050,2011/12,178.55,34.19,14.46,1.43,96.85,53.52,58.12,1.17,50.09,64.15,157.03
(주)경방,000050,2012/12,179.18,83.82,42.37,2.47,94.36,18.12,56.71,0.43,50.73,63.5,150.96
(주)경방,000050,2013/12,172.38,89.73,49.54,3.77,83.97,12.92,47.72,2.9,53.37,54.02,137.19
(주)경방,000050,2014/12,182.84,21.53,12.62,1.19,95.68,59.65,52.76,2.93,50.03,46.53,138.48
(주)경방,000050,2015/12,175.02,58.2,32.08,2.78,87.49,21.42,45.6,4.38,52.25,48.01,111.79
(주)경방,000050,2016/12,167.55,66.76,38.86,2.6,79.22,17.48,36.42,7.08,54.69,49.35,105.62
