회사명,거래소코드,회계년도,[제조]   연구비,[제조]   경상개발비,[제조]매출액(영업수익)(*)
(주)금비,008870,2019/09,0,38841,91480486
(주)금비,008870,2020/09,0,141272,79341217
(주)금비,008870,2021/09,0,424638,82273050
(주)금빛,045890,2011/12,0,721388,48908773
(주)금빛,045890,2012/12,0,541607,74367184
(주)금빛,045890,2013/12,0,0,75831455
(주)금빛,045890,2014/12,0,0,76784301
(주)금빛,045890,2015/12,0,0,79881383
(주)금빛,045890,2016/12,0,0,67258801
(주)금빛,045890,2017/12,0,0,65805697
(주)금빛,045890,2018/12,0,0,50396516
(주)금빛,045890,2019/12,0,0,55240846
(주)금빛,045890,2020/12,0,0,37324969
(주)금양,001570,2011/12,0,0,100918699
(주)금양,001570,2012/12,0,0,108275608
(주)금양,001570,2013/12,0,0,132045280
(주)금양,001570,2014/12,0,0,137946044
(주)금양,001570,2015/12,0,0,152450369
(주)금양,001570,2016/12,0,1163043,161001876
(주)금양,001570,2017/12,0,1254707,150809075
(주)금양,001570,2018/12,0,1721470,151676398
(주)금양,001570,2019/12,0,1654151,135915020
(주)금양,001570,2020/12,0,909310,120928396
(주)금양,001570,2021/12,0,1326516,175521044
(주)금오하이텍,165270,2013/12,0,252656,36700608
(주)금오하이텍,165270,2014/12,0,243978,36690702
(주)금오하이텍,165270,2015/12,0,290387,41157381
(주)금오하이텍,165270,2016/12,0,368804,48149302
(주)금호에이치티,214330,2015/12,0,2539699,181779820
(주)금호에이치티,214330,2016/12,0,0,189733826
(주)금호에이치티,214330,2017/12,0,0,165485490
(주)금호에이치티,214330,2018/12,0,0,189250383
(주)금호에이치티,214330,2019/12,0,0,221734443
(주)금호에이치티,214330,2020/12,0,0,181173914
(주)금호에이치티,214330,2021/12,0,2155724,197311760
(주)금화피에스시,036190,2011/12,0,0,82738193
(주)금화피에스시,036190,2012/12,0,0,108224285
(주)금화피에스시,036190,2013/12,0,0,156630832
(주)금화피에스시,036190,2014/12,0,0,166948026
(주)금화피에스시,036190,2015/12,0,0,196919865
(주)금화피에스시,036190,2016/12,0,128850,201547339
(주)금화피에스시,036190,2017/12,0,54223,174993150
(주)금화피에스시,036190,2018/12,0,4629,202098199
(주)금화피에스시,036190,2019/12,0,0,179177462
(주)금화피에스시,036190,2020/12,0,0,205790146
(주)금화피에스시,036190,2021/12,0,0,205982209
(주)기가레인,049080,2013/12,0,0,94055571
(주)기가레인,049080,2014/12,0,0,95460665
(주)기가레인,049080,2015/12,0,0,61254807
(주)기가레인,049080,2016/12,0,0,70397030
(주)기가레인,049080,2017/12,0,4000,89874499
(주)기가레인,049080,2018/12,0,80588,114668638
(주)기가레인,049080,2019/12,0,155124,63361399
(주)기가레인,049080,2020/12,0,372567,37870890
(주)기가레인,049080,2021/12,0,426991,68973683
(주)기산텔레콤,035460,2011/12,0,4635198,36332290
(주)기산텔레콤,035460,2012/12,0,2999071,49240507
(주)기산텔레콤,035460,2013/12,0,3070460,48367030
(주)기산텔레콤,035460,2014/12,0,3231600,41612762
(주)기산텔레콤,035460,2015/12,0,3286458,45712905
(주)기산텔레콤,035460,2016/12,0,3097587,24679656
(주)기산텔레콤,035460,2017/12,0,3148440,29568090
(주)기산텔레콤,035460,2018/12,0,3136693,24864346
(주)기산텔레콤,035460,2019/12,0,2519054,30545683
(주)기산텔레콤,035460,2020/12,0,3144474,26787022
(주)기산텔레콤,035460,2021/12,0,3109210,18129277
(주)까뮤이앤씨,013700,2011/12,0,268,90048208
(주)까뮤이앤씨,013700,2012/12,0,0,90976586
(주)까뮤이앤씨,013700,2013/12,0,0,83568532
(주)까뮤이앤씨,013700,2014/12,0,26274,123567918
(주)까뮤이앤씨,013700,2015/12,0,7081,132370311
(주)까뮤이앤씨,013700,2016/12,0,100,139708060
(주)까뮤이앤씨,013700,2017/12,0,312997,172176860
(주)까뮤이앤씨,013700,2018/12,0,230520,116296828
(주)까뮤이앤씨,013700,2019/12,0,347155,283420655
(주)까뮤이앤씨,013700,2020/12,0,570694,161728918
(주)까뮤이앤씨,013700,2021/12,0,532880,163686602
