회사명,거래소코드,회계년도,[제조]자산(*)(IFRS),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),배당금_현금,[제조]      장기차입금(*)(IFRS),[제조]매출액증가율(IFRS)
(주)경농,002100,2013/12,214988593,16373126,3457632,6635226,6.27
(주)경농,002100,2014/12,230870852,14226137,3840658,9302713,-3.18
(주)경농,002100,2015/12,265109291,-9444978,4287516,10653500,2.08
(주)경농,002100,2016/12,266622289,8683420,4734132,6779500,4.07
(주)경농,002100,2017/12,268967010,14393946,5270072,2905500,-0.02
(주)경농,002100,2018/12,285031873,4624400,4466162,0,2.12
(주)경농,002100,2019/12,297197088,4392117,3930223,16000000,3.51
(주)경농,002100,2020/12,299102193,8535979,4466162,0,9.46
(주)경농,002100,2021/12,312930580,21191387,6252628,8500000,5.5
(주)경동나비엔,009450,2011/12,224373470,12393396,1247000,112800,14.37
(주)경동나비엔,009450,2012/12,254627468,22554949,1262000,7460000,7.25
(주)경동나비엔,009450,2013/12,301475800,20201422,1262385,2219700,8.87
(주)경동나비엔,009450,2014/12,331089242,-24009203,1262385,1331820,2.9
(주)경동나비엔,009450,2015/12,324848990,36531813,1262385,443940,17.24
(주)경동나비엔,009450,2016/12,347643876,54602640,1893578,0,12.89
(주)경동나비엔,009450,2017/12,391400492,13453817,2524770,0,12.59
(주)경동나비엔,009450,2018/12,440513661,-9553832,3155962,0,8.47
(주)경동나비엔,009450,2019/12,461607017,38146715,3787155,10000000,6.04
(주)경동나비엔,009450,2020/12,535511600,54408162,4721174,5000000,13.87
(주)경동나비엔,009450,2021/12,667507445,68019725,6503819,0,27.44
(주)경동도시가스,267290,2017/12,707917077,18774744,3535031,12987389,
(주)경동도시가스,267290,2018/12,775880913,120320145,4124203,12123582,0
(주)경동도시가스,267290,2019/12,747453908,33602896,5154124,11201253,-11.45
(주)경동도시가스,267290,2020/12,697182108,-64559,5154124,7802650,-23.62
(주)경동도시가스,267290,2021/12,901837037,138294611,5154124,6937975,34.1
