회사명,거래소코드,회계년도,[제조]자산(*)(IFRS연결),[제조]부채(*)(IFRS연결),산술평균,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수),주식의 종류
(주)STX,011810,2020/12,617563000,535834000,6169,19726902,90
(주)STX,011810,2020/12,617563000,535834000,6169,19726902,10
(주)STX,011810,2021/12,676149000,553619000,3977,28621454,90
(주)STX,011810,2021/12,676149000,553619000,3977,0,20
(주)STX,011810,2021/12,676149000,553619000,3977,28621454,10
(주)TCC스틸,002710,2011/12,454329510,228887542,5261,16000000,10
(주)TCC스틸,002710,2011/12,454329510,228887542,5261,16000000,90
(주)TCC스틸,002710,2012/12,547013976,321015196,4721,17000000,90
(주)TCC스틸,002710,2012/12,547013976,321015196,4721,17000000,10
(주)TCC스틸,002710,2013/12,543708595,337970494,3395,18000000,10
(주)TCC스틸,002710,2013/12,543708595,337970494,3395,18000000,90
(주)TCC스틸,002710,2014/12,551000563,361962559,2751,19000000,10
(주)TCC스틸,002710,2014/12,551000563,361962559,2751,19000000,90
(주)TCC스틸,002710,2015/12,376394571,290382095,1981,22342500,90
(주)TCC스틸,002710,2015/12,376394571,290382095,1981,22342500,10
(주)TCC스틸,002710,2016/12,282914735,179577101,2450,22342500,10
(주)TCC스틸,002710,2016/12,282914735,179577101,2450,22342500,90
(주)TCC스틸,002710,2017/12,278692540,177776736,1939,22342500,90
(주)TCC스틸,002710,2017/12,278692540,177776736,1939,22342500,10
(주)TCC스틸,002710,2018/12,304781579,192535369,1968,22342500,10
(주)TCC스틸,002710,2018/12,304781579,192535369,1968,22342500,90
(주)TCC스틸,002710,2019/12,314210087,197366953,2716,22342500,10
(주)TCC스틸,002710,2019/12,314210087,197366953,2716,22342500,90
(주)TCC스틸,002710,2020/12,306758932,185628052,4910,23000000,90
(주)TCC스틸,002710,2020/12,306758932,185628052,4910,23000000,10
(주)TCC스틸,002710,2021/12,366996615,211767466,7804,23500000,90
(주)TCC스틸,002710,2021/12,366996615,211767466,7804,23500000,10
(주)가비아,079940,2011/12,64954440,16288697,3535,12735684,90
(주)가비아,079940,2011/12,64954440,16288697,3535,12735684,10
(주)가비아,079940,2012/12,85244515,26299269,4181,13335684,10
(주)가비아,079940,2012/12,85244515,26299269,4181,13335684,90
(주)가비아,079940,2013/12,91231294,22631067,4763,13335684,90
(주)가비아,079940,2013/12,91231294,22631067,4763,13335684,10
(주)가비아,079940,2014/12,98544072,23034370,6194,13535684,90
(주)가비아,079940,2014/12,98544072,23034370,6194,13535684,10
(주)가비아,079940,2015/12,105081568,20985420,6112,13535684,90
(주)가비아,079940,2015/12,105081568,20985420,6112,13535684,10
(주)가비아,079940,2016/12,125796754,29844914,5770,13535684,90
(주)가비아,079940,2016/12,125796754,29844914,5770,13535684,10
(주)가비아,079940,2017/12,133382584,33486064,5690,13535684,90
(주)가비아,079940,2017/12,133382584,33486064,5690,13535684,10
(주)가비아,079940,2018/12,151440505,37253015,6348,13535684,90
(주)가비아,079940,2018/12,151440505,37253015,6348,13535684,10
(주)가비아,079940,2019/12,199916131,64956993,7785,13535684,90
(주)가비아,079940,2019/12,199916131,64956993,7785,13535684,10
(주)가비아,079940,2020/12,260025259,86821629,12807,13535684,90
(주)가비아,079940,2020/12,260025259,86821629,12807,13535684,10
(주)가비아,079940,2021/12,302957884,98368307,13523,13535684,10
(주)가비아,079940,2021/12,302957884,98368307,13523,13535684,90
(주)강스템바이오텍,217730,2015/12,,,9076,13817150,10
(주)강스템바이오텍,217730,2015/12,,,9076,0,20
(주)강스템바이오텍,217730,2015/12,,,9076,13817150,90
(주)강스템바이오텍,217730,2016/12,,,10227,14213650,10
(주)강스템바이오텍,217730,2016/12,,,10227,0,20
(주)강스템바이오텍,217730,2016/12,,,10227,14213650,90
(주)강스템바이오텍,217730,2017/12,47198979,22716816,11911,16251712,90
(주)강스템바이오텍,217730,2017/12,47198979,22716816,11911,16251712,10
(주)강스템바이오텍,217730,2017/12,47198979,22716816,11911,0,20
(주)강스템바이오텍,217730,2018/12,73194018,25612644,18447,20824937,90
(주)강스템바이오텍,217730,2018/12,73194018,25612644,18447,0,20
(주)강스템바이오텍,217730,2018/12,73194018,25612644,18447,20824937,10
(주)강스템바이오텍,217730,2019/12,113643697,44924460,7880,20849437,10
(주)강스템바이오텍,217730,2019/12,113643697,44924460,7880,3239934,20
(주)강스템바이오텍,217730,2019/12,113643697,44924460,7880,24089371,90
(주)강스템바이오텍,217730,2020/12,82505287,33866416,7342,25376658,90
(주)강스템바이오텍,217730,2020/12,82505287,33866416,7342,539992,20
(주)강스템바이오텍,217730,2020/12,82505287,33866416,7342,24836666,10
(주)강스템바이오텍,217730,2021/12,103147836,37144831,3373,67499,20
(주)강스템바이오텍,217730,2021/12,103147836,37144831,3373,37937925,10
(주)강스템바이오텍,217730,2021/12,103147836,37144831,3373,38005424,90
(주)강원랜드,035250,2011/12,2711401782,454039086,28107,213940500,90
(주)강원랜드,035250,2011/12,2711401782,454039086,28107,213940500,10
(주)강원랜드,035250,2012/12,2906655321,534628331,29942,213940500,90
(주)강원랜드,035250,2012/12,2906655321,534628331,29942,213940500,10
