,target,거래소코드,상장일,수명주기,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,자기자본순이익률,광고선전비대매출액비율,비유동비율,당좌비율,현금비율,부채비율,이자보상배율(이자비용),유보액대납입자본배율,투자집중도,1인년간평균급여(직원),토빈Q,WW지수,RDS,산업평균_총자산증가율차분,보통주식비율,외국인_주식분포비율,업력
5011,0,3570,1976/07/08,성숙기,제조업,2017,SNT중공업(주),-0.26,-2.180000000000001,838427549.0,-8184273.0,-6.32,-5.33,-7.5,-6.78,49.37068527315937,860.9023444180505,45.22930641330159,-7.09,-4.92,0.07,72.67,193.85,105.2,38.69,-3.62,6.69,181.08,57444.0,0.5868886031200771,-0.1832894572842744,0.0,-6.01109063761877,35.61,14.08,58.0
5012,0,3570,1976/07/08,성숙기,제조업,2018,SNT중공업(주),-0.12,-1.1400000000000006,845671572.0,16332935.0,-1.68,3.66,0.49,-9.17,49.37068527315937,860.9023444180505,45.22930641330159,5.0,3.27,0.09,71.1,280.42,52.76,39.2,11.6,6.94,200.52,54990.0,0.5580687349402824,-0.9225769694795684,0.0,0.8324347089184743,39.05,12.94,59.0
5013,0,3570,1976/07/08,성숙기,제조업,2019,SNT중공업(주),5.140000000000001,-0.6699999999999999,841373802.0,19378460.0,-0.45,-0.57,1.58,-5.34,19.54,-16.01,-29.47,4.44,2.72,0.13,69.68,304.15,53.45,36.34,31.85,6.87,209.52,55347.0,0.5580687349402824,-1.3772017350293009,0.0,-0.6182947171902162,40.0,12.27,60.0
5014,0,78890,2005/07/12,성숙기,제조업,2013,가온미디어(주),0.24,-3.79,132534576.0,5429382.0,0.9,-16.23,22.93,47.25,98.6,69.76,32.82,2.59,12.17,0.24,45.97,141.82,36.23,95.63,5.54,12.7,47.71,50000.0,0.9544847172484258,0.9946051724189392,0.0335569341399125,-10.37461570353346,19.33,2.42,12.0
5015,1,78890,2005/07/12,쇠퇴기,제조업,2014,가온미디어(주),-0.0799999999999999,1.42,188725721.0,14101659.0,-7.75,52.18,22.03,18.71,44.05,52.07,74.83,3.28,15.12,0.23,34.87,116.57,11.62,129.09,13.28,13.6,52.17,49248.0,1.128160506240694,-0.6157040218667046,0.0265094655371942,40.59170528280978,19.33,3.84,13.0
5016,1,78890,2005/07/12,성장기,제조업,2015,가온미디어(주),-0.14,0.06,221714093.0,9414709.0,1.43,20.36,21.92,9.43,15.08,-13.75,-9.24,2.48,10.69,0.21,29.14,111.52,20.15,121.68,18.08,14.64,57.08,57000.0,1.161991983703084,-0.7243381356438618,0.0451089344176632,17.26925275263489,19.33,3.9,14.0
5017,1,78890,2005/07/12,성장기,제조업,2016,가온미디어(주),-0.12,5.670000000000002,239295207.0,16150320.0,-1.19,9.31,15.99,16.26,0.61,83.11,63.22,4.01,16.5,0.16,27.49,152.51,44.39,106.84,20.44,16.88,53.5,57000.0,1.0865513691212378,-0.6534405467013475,0.0382273686004281,7.823259767156068,19.33,16.06,15.0
5018,1,78890,2005/07/12,도입기,제조업,2017,가온미디어(주),0.03,-4.870000000000001,266959847.0,8646384.0,1.53,12.93,6.91,20.94,3.25,-61.79,-52.96,1.17,5.67,0.22,27.49,126.34,20.49,116.82,13.13,17.79,49.8,58000.0,1.1483809529977742,0.7854243377460082,0.0385648109387907,11.39890936238123,19.33,6.63,16.0
5019,0,78890,2005/07/12,도입기,제조업,2018,가온미디어(주),-0.02,-1.2599999999999998,325750423.0,2671453.0,1.82,24.51,11.56,15.41,-55.56,-25.03,-33.1,0.85,3.89,0.25,27.49,90.74,9.05,136.77,3.2,18.35,52.49,61000.0,0.8945377876362727,0.0047337133261359,0.0366383053988346,21.99243470891848,19.33,5.37,17.0
5020,1,78890,2005/07/12,성숙기,제조업,2019,가온미디어(주),16.06,5.260000000000001,307629967.0,17232425.0,4.24,-6.55,13.28,-1.44,173.46,249.26,240.64,2.96,12.08,0.19,27.49,176.19,24.71,97.31,7.63,20.42,49.79,64000.0,0.8893346601535734,-1.2049462638915902,0.0,-5.668294717190216,19.33,10.63,18.0
