,회사명,거래소코드,회계년도,토빈Q
316,(주)국보디자인,066620,2013,609.0967415685666
317,(주)국보디자인,066620,2014,783.8890207507617
318,(주)국보디자인,066620,2015,911.9562830093712
319,(주)국보디자인,066620,2016,787.075214629799
320,(주)국보디자인,066620,2017,851.4487021260242
321,(주)국보디자인,066620,2018,594.0404866327983
322,(주)국보디자인,066620,2019,571.182448462571
323,(주)국보디자인,066620,2020,495.2423041574171
324,(주)국보디자인,066620,2021,454.7844658742309
325,(주)국순당,043650,2011,712.1593168786226
326,(주)국순당,043650,2012,633.8518242402785
327,(주)국순당,043650,2013,486.4487343824574
328,(주)국순당,043650,2014,494.8364466510388
329,(주)국순당,043650,2015,540.3989402493384
330,(주)국순당,043650,2016,579.0036532551696
331,(주)국순당,043650,2017,429.80578661196415
332,(주)국순당,043650,2018,318.9897521029432
333,(주)국순당,043650,2019,221.36206141810322
334,(주)국순당,043650,2020,404.97601958709595
335,(주)국순당,043650,2021,600.5472608445107
336,(주)그래디언트,035080,2011,543.00141164006
337,(주)그래디언트,035080,2012,574.528597280681
338,(주)그래디언트,035080,2013,423.9682068190586
339,(주)그래디언트,035080,2014,289.8845168405887
340,(주)그래디언트,035080,2015,313.1949264330924
341,(주)그래디언트,035080,2016,141.55484260517792
342,(주)그래디언트,035080,2017,128.83564370246845
343,(주)그래디언트,035080,2018,79.90192897568757
344,(주)그래디언트,035080,2019,70.36169261470488
345,(주)그래디언트,035080,2020,115.80377202769162
346,(주)그래디언트,035080,2021,269.94638187626435
347,(주)그리티,204020,2018,839.4265971928577
348,(주)그리티,204020,2019,589.1937770996392
349,(주)그리티,204020,2020,700.0308773520094
350,(주)그리티,204020,2021,598.0504066330446
351,(주)그린플러스,186230,2019,713.1716902266994
352,(주)그린플러스,186230,2020,1392.766969633385
353,(주)그린플러스,186230,2021,1519.2400055074133
354,(주)글로벌스탠다드테크놀로지,083450,2011,476.6322214129061
355,(주)글로벌스탠다드테크놀로지,083450,2012,658.5172254264768
356,(주)글로벌스탠다드테크놀로지,083450,2013,753.6368175069906
357,(주)글로벌스탠다드테크놀로지,083450,2014,769.5586329332303
358,(주)글로벌스탠다드테크놀로지,083450,2015,774.9723551643713
359,(주)글로벌스탠다드테크놀로지,083450,2016,549.1349406578481
360,(주)글로벌스탠다드테크놀로지,083450,2017,1114.1720119035551
361,(주)글로벌스탠다드테크놀로지,083450,2018,411.91984978816197
362,(주)글로벌스탠다드테크놀로지,083450,2019,634.1165053456574
363,(주)글로벌스탠다드테크놀로지,083450,2020,1095.1201573772034
364,(주)글로벌스탠다드테크놀로지,083450,2021,1633.2388430952406
365,(주)금비,008870,2011,154.4386736220182
366,(주)금비,008870,2012,148.17018759322036
367,(주)금비,008870,2013,139.6124268111247
368,(주)금비,008870,2014,162.8342631632686
369,(주)금비,008870,2015,326.23170900722494
370,(주)금비,008870,2016,374.1223683183748
371,(주)금비,008870,2017,319.6206491980813
372,(주)금비,008870,2018,267.0610292273278
373,(주)금비,008870,2019,251.59354862975746
374,(주)금비,008870,2020,169.09036342370757
375,(주)금비,008870,2021,216.5784504460539
376,(주)금빛,045890,2011,549.5101324559822
377,(주)금빛,045890,2012,471.9328555308938
378,(주)금빛,045890,2013,493.2227572954306
379,(주)금빛,045890,2014,302.8264285698323
380,(주)금빛,045890,2015,453.2982761469812
381,(주)금빛,045890,2016,455.08029273440076
382,(주)금빛,045890,2017,461.1671019499644
383,(주)금빛,045890,2018,623.6329959680138
384,(주)금빛,045890,2019,1012.5656852704224
385,(주)금빛,045890,2020,314.6570295172692
386,(주)금양,001570,2011,243.42063335994055
387,(주)금양,001570,2012,323.0406384442178
388,(주)금양,001570,2013,289.32293612690785
389,(주)금양,001570,2014,348.4668480610907
390,(주)금양,001570,2015,456.50352352842776
391,(주)금양,001570,2016,611.2279949768225
392,(주)금양,001570,2017,540.0170648367737
393,(주)금양,001570,2018,523.4834905119983
394,(주)금양,001570,2019,471.7784537049665
395,(주)금양,001570,2020,1208.5703540432712
396,(주)금양,001570,2021,743.3390715974834
397,(주)금호에이치티,214330,2015,771.0546459390412
398,(주)금호에이치티,214330,2016,381.86567387354
399,(주)금호에이치티,214330,2017,332.2370249705165
400,(주)금호에이치티,214330,2018,490.4554027288256
401,(주)금호에이치티,214330,2019,402.66537678320867
402,(주)금호에이치티,214330,2020,922.9096586887262
403,(주)금호에이치티,214330,2021,919.5515923970539
404,(주)금화피에스시,036190,2013,1361.8585628220078
405,(주)금화피에스시,036190,2014,1818.5564616778383
406,(주)금화피에스시,036190,2015,1107.6928938877832
407,(주)금화피에스시,036190,2016,984.9708479789143
408,(주)금화피에스시,036190,2017,1084.8399934151028
409,(주)금화피에스시,036190,2018,693.7157064366445
410,(주)금화피에스시,036190,2019,622.6364053681344
411,(주)금화피에스시,036190,2020,602.360595074842
412,(주)금화피에스시,036190,2021,645.2637522676018
413,(주)기가레인,049080,2013,579.0935117611796
414,(주)기가레인,049080,2014,1514.6303247033318
415,(주)기가레인,049080,2015,590.7626302330747
416,(주)기가레인,049080,2016,584.0625005381842
417,(주)기가레인,049080,2017,773.8308238251767
418,(주)기가레인,049080,2018,572.0270682327156
419,(주)기가레인,049080,2019,640.6880572315715
420,(주)기가레인,049080,2020,1705.6774215070677
421,(주)기가레인,049080,2021,1836.6484562150665
422,(주)기산텔레콤,035460,2011,355.80183570173506
423,(주)기산텔레콤,035460,2012,362.74965512165574
424,(주)기산텔레콤,035460,2013,352.1885486100349
425,(주)기산텔레콤,035460,2014,329.1240650797088
426,(주)기산텔레콤,035460,2015,660.7760626379904
427,(주)기산텔레콤,035460,2016,675.6053759782395
428,(주)기산텔레콤,035460,2017,629.4247334504664
429,(주)기산텔레콤,035460,2018,707.5016662278725
430,(주)기산텔레콤,035460,2019,459.25706738620215
431,(주)기산텔레콤,035460,2020,550.402540863891
432,(주)기산텔레콤,035460,2021,519.6261012195441
433,(주)까스텔바작,308100,2019,685.340932372269
434,(주)까스텔바작,308100,2020,630.7568136854314
435,(주)까스텔바작,308100,2021,614.7327857016173
436,(주)나노,187790,2015,446.88695915073754
437,(주)나노,187790,2016,628.2533084261188
438,(주)나노,187790,2017,476.08083229133297
439,(주)나노,187790,2018,421.69349495588426
440,(주)나노,187790,2019,435.16433125145426
441,(주)나노,187790,2020,357.05497920507906
442,(주)나노,187790,2021,643.4583196009268
443,(주)나노브릭,286750,2019,1924.091744236183
444,(주)나노신소재,121600,2011,1915.7573235767816
445,(주)나노신소재,121600,2012,1333.3633021500932
446,(주)나노신소재,121600,2013,1910.1722324713
447,(주)나노신소재,121600,2014,1553.2636641916633
448,(주)나노신소재,121600,2015,3022.5880762926076
449,(주)나노신소재,121600,2016,1884.9043998716654
450,(주)나노신소재,121600,2017,1994.1753160778994
451,(주)나노신소재,121600,2018,1532.1648162278425
452,(주)나노신소재,121600,2019,1682.0499310707235
453,(주)나노신소재,121600,2020,3715.5409448389564
454,(주)나노신소재,121600,2021,5931.705462016649
455,(주)나노엔텍,039860,2011,1700.3583396667455
456,(주)나노엔텍,039860,2012,1636.2382850655229
457,(주)나노엔텍,039860,2013,2144.6770062388027
458,(주)나노엔텍,039860,2014,2887.523016891232
459,(주)나노엔텍,039860,2015,3178.4314062124877
460,(주)나노엔텍,039860,2016,2516.566388422971
461,(주)나노엔텍,039860,2017,3346.4200811821675
462,(주)나노엔텍,039860,2018,2705.421816449353
463,(주)나노엔텍,039860,2019,3112.536285557116
464,(주)나노엔텍,039860,2020,4539.975753969719
465,(주)나노엔텍,039860,2021,3264.457926136343
466,(주)나노트로닉스,010670,2011,1205.1404389632137
467,(주)나노트로닉스,010670,2012,1377.4096179531434
468,(주)나무가,190510,2015,794.8237913573191
469,(주)나무가,190510,2016,910.7452106393184
470,(주)나무가,190510,2017,500.7864086631176
471,(주)나무가,190510,2018,548.3547788400076
472,(주)나무가,190510,2019,833.5138113108787
473,(주)나무가,190510,2020,773.1281341111068
474,(주)나무가,190510,2021,909.7900830682898
475,(주)나스미디어,089600,2016,1249.829070219799
476,(주)나스미디어,089600,2017,1937.4963534733915
477,(주)나스미디어,089600,2018,814.1849278858319
478,(주)나스미디어,089600,2019,799.7173945792894
479,(주)나스미디어,089600,2020,650.8842359574734
480,(주)나스미디어,089600,2021,672.5668449838621
481,(주)나이스디앤비,130580,2015,2386.307120920853
482,(주)나이스디앤비,130580,2016,1991.6601891632642
483,(주)나이스디앤비,130580,2017,2644.8303916233813
484,(주)나이스디앤비,130580,2018,1954.679757529254
485,(주)나이스디앤비,130580,2019,1636.0403665784072
486,(주)나이스디앤비,130580,2020,1729.692502286232
487,(주)나이스디앤비,130580,2021,1426.6291504895557
488,(주)나이스홀딩스,034310,2011,430.8898097793614
489,(주)나이스홀딩스,034310,2012,473.8496298252431
490,(주)나이스홀딩스,034310,2013,546.8311880172652
491,(주)나이스홀딩스,034310,2014,497.837993542646
492,(주)나이스홀딩스,034310,2015,679.7859219743729
493,(주)나이스홀딩스,034310,2016,457.29711897762576
494,(주)나이스홀딩스,034310,2017,322.5582754956954
495,(주)나이스홀딩스,034310,2018,309.8240281289132
496,(주)나이스홀딩스,034310,2019,297.76760144475827
497,(주)나이스홀딩스,034310,2020,264.56009470024816
498,(주)나이스홀딩스,034310,2021,201.35965969955126
499,(주)남선알미늄,008350,2011,257.9365353266431
500,(주)남선알미늄,008350,2018,1000.7059162171846
501,(주)남선알미늄,008350,2019,1146.0669356535418
502,(주)남선알미늄,008350,2020,1735.8066422299685
503,(주)남선알미늄,008350,2021,770.4516818207876
504,(주)남성,004270,2011,137.15449982362748
505,(주)남성,004270,2012,118.95041092887676
506,(주)남성,004270,2013,148.82158041773178
507,(주)남성,004270,2014,210.36556764871258
508,(주)남성,004270,2015,372.7486872041892
509,(주)남성,004270,2016,311.71120154248655
510,(주)남성,004270,2017,391.6424675288345
511,(주)남성,004270,2018,336.0843559089675
512,(주)남성,004270,2019,536.0047917146921
513,(주)남성,004270,2020,810.3887275597401
514,(주)남성,004270,2021,388.84967570819344
515,(주)내츄럴엔도텍,168330,2015,5997.2488976422965
516,(주)내츄럴엔도텍,168330,2016,4023.8656648149845
517,(주)내츄럴엔도텍,168330,2017,5412.364242960258
518,(주)내츄럴엔도텍,168330,2018,4702.804725798081
519,(주)내츄럴엔도텍,168330,2019,1597.6244686855173
520,(주)내츄럴엔도텍,168330,2020,1027.9076796525662
521,(주)내츄럴엔도텍,168330,2021,2921.387247860751
522,(주)네오리진,094860,2011,904.6200229030991
523,(주)네오리진,094860,2017,1773.3276503905875
524,(주)네오리진,094860,2021,2432.946649075096
525,(주)네오셈,253590,2019,754.4165874476794
526,(주)네오셈,253590,2020,2062.6879100297856
527,(주)네오셈,253590,2021,1376.2127733953341
528,(주)네오위즈,095660,2011,1677.0909215298097
529,(주)네오위즈,095660,2012,815.1021739681091
530,(주)네오위즈,095660,2013,730.8321892796021
531,(주)네오위즈,095660,2014,1228.7203693715499
532,(주)네오위즈,095660,2015,904.4158747392786
533,(주)네오위즈,095660,2016,766.5947776729222
534,(주)네오위즈,095660,2017,888.8000783639396
535,(주)네오위즈,095660,2018,720.1231160481142
536,(주)네오위즈,095660,2019,896.2075209145378
537,(주)네오위즈,095660,2020,1017.3481521154791
538,(주)네오위즈,095660,2021,1174.2726392001634
539,(주)네오위즈홀딩스,042420,2011,321.60879911630394
540,(주)네오위즈홀딩스,042420,2012,175.48070884543978
541,(주)네오위즈홀딩스,042420,2013,170.51000098379134
542,(주)네오위즈홀딩스,042420,2014,248.8400637613527
543,(주)네오위즈홀딩스,042420,2015,239.65741001272207
544,(주)네오위즈홀딩스,042420,2016,269.0007055340953
545,(주)네오위즈홀딩스,042420,2017,220.64558328484108
