,회사명,거래소코드,회계년도,WW지수
219,(주)고영테크놀러지,098460,2018,0.04355476406794012
220,(주)고영테크놀러지,098460,2019,-1.3881576480843374
221,(주)고영테크놀러지,098460,2020,-1.6365926394775765
222,(주)고영테크놀러지,098460,2021,1.1584055894228846
223,(주)골드앤에스,035290,2011,-0.999258149740902
224,(주)골드앤에스,035290,2012,-0.8224660996363354
225,(주)골드앤에스,035290,2013,-0.8746623132326868
226,(주)골드앤에스,035290,2014,-0.7502881910406363
227,(주)골드앤에스,035290,2015,-2.0421669720534754
228,(주)골드앤에스,035290,2016,-1.779817798741406
229,(주)골드앤에스,035290,2017,-0.5961823824922943
230,(주)골드앤에스,035290,2018,-1.6313853425151925
231,(주)골드앤에스,035290,2020,-2.153999412858857
232,(주)골드앤에스,035290,2021,8.098842476562721
233,(주)골드퍼시픽,038530,2013,-0.9482643070725596
234,(주)골드퍼시픽,038530,2014,-0.5493031810850806
235,(주)골드퍼시픽,038530,2015,-2.0701126366384344
236,(주)골드퍼시픽,038530,2018,0.04010545334225479
237,(주)골프존,215000,2016,-0.9574522877082545
238,(주)골프존,215000,2017,-0.3940198190899592
239,(주)골프존,215000,2018,-0.6883687671195082
240,(주)골프존,215000,2019,0.6762641343415055
241,(주)골프존,215000,2020,-0.032037088656981405
242,(주)골프존,215000,2021,1.6301978938459842
243,(주)골프존뉴딘홀딩스,121440,2011,-0.4731000776848435
244,(주)골프존뉴딘홀딩스,121440,2012,0.5496469535428641
245,(주)골프존뉴딘홀딩스,121440,2013,-0.24393656063457148
246,(주)골프존뉴딘홀딩스,121440,2014,-0.13385459078125161
247,(주)골프존뉴딘홀딩스,121440,2015,-4.906221654430326
248,(주)골프존뉴딘홀딩스,121440,2016,2.3223594934649507
249,(주)골프존뉴딘홀딩스,121440,2017,-1.439905655945421
250,(주)골프존뉴딘홀딩스,121440,2018,-0.01099441498686718
251,(주)골프존뉴딘홀딩스,121440,2019,-1.0077914272496948
252,(주)골프존뉴딘홀딩스,121440,2020,-0.8157892909976371
253,(주)골프존뉴딘홀딩스,121440,2021,2.4353131368057905
254,(주)광림,014200,2014,-1.2226050241125055
255,(주)광림,014200,2016,-1.1567728502133243
256,(주)광림,014200,2017,2.0454314243225475
257,(주)광림,014200,2018,-0.42642047622271434
258,(주)광림,014200,2019,-0.8292029443200887
259,(주)광림,014200,2020,-0.5197485155715298
260,(주)광림,014200,2021,1.8319222815769105
261,(주)광명전기,017040,2011,-1.197409287816794
262,(주)광명전기,017040,2012,0.48211864202317845
263,(주)광명전기,017040,2013,-0.6864802515889661
264,(주)광명전기,017040,2014,-0.7065483015926032
265,(주)광명전기,017040,2015,-1.4599470909618908
266,(주)광명전기,017040,2016,-1.7217268780852004
267,(주)광명전기,017040,2017,0.29648661801282516
268,(주)광명전기,017040,2018,-0.023733191170074885
269,(주)광명전기,017040,2019,-0.5801013789820747
270,(주)광명전기,017040,2020,-1.152695035213777
271,(주)광명전기,017040,2021,1.5875481367468511
272,(주)광무,029480,2011,-0.8085413958165616
273,(주)광무,029480,2012,-0.40929161396712543
