,회사명,거래소코드,회계년도,대주주지분변화분,외국인지분분변화
328,(주)광무,029480,2017/12,-1.2,-1.2999999999999998
329,(주)광무,029480,2018/12,1.41,0.38
330,(주)광무,029480,2019/12,29.34,-0.22999999999999998
331,(주)광무,029480,2020/12,-31.06,2.54
332,(주)광무,029480,2021/12,34.6,-2.1799999999999997
333,(주)광주신세계,037710,2011/12,-1.75,14.25
334,(주)광주신세계,037710,2012/12,-32.85,0.6600000000000001
335,(주)광주신세계,037710,2013/12,0.06,2.870000000000001
336,(주)광주신세계,037710,2014/12,1.66,-4.070000000000002
337,(주)광주신세계,037710,2015/12,29.35,-1.3099999999999987
338,(주)광주신세계,037710,2016/12,0.05000000000000071,-0.28000000000000114
339,(주)광주신세계,037710,2017/12,-0.060000000000002274,0.11000000000000121
340,(주)광주신세계,037710,2018/12,-31.06,-0.7300000000000004
341,(주)광주신세계,037710,2019/12,0.06,-0.2900000000000009
342,(주)광주신세계,037710,2020/12,31.0,0.13000000000000078
343,(주)광주신세계,037710,2021/12,0.060000000000002274,0.15000000000000036
344,(주)구스앤홈,329050,2019/12,-31.12,-12.4
345,(주)구스앤홈,329050,2020/12,0.06,0.0
346,(주)구영테크,053270,2011/12,4.98,20.23
347,(주)구영테크,053270,2012/12,-5.04,0.0
348,(주)구영테크,053270,2013/12,0.06,-2.870000000000001
349,(주)구영테크,053270,2014/12,31.0,-16.96
350,(주)구영테크,053270,2015/12,0.060000000000002274,0.0
351,(주)구영테크,053270,2016/12,-31.12,1.9700000000000002
352,(주)구영테크,053270,2017/12,0.06,-1.29
353,(주)구영테크,053270,2018/12,31.060000000000002,0.5799999999999998
354,(주)구영테크,053270,2019/12,-0.060000000000002274,0.51
355,(주)구영테크,053270,2020/12,0.060000000000002274,0.3900000000000001
356,(주)구영테크,053270,2021/12,-31.060000000000002,-1.45
357,(주)국동,005320,2011/12,-0.06,-1.0
358,(주)국동,005320,2012/12,31.06,-0.09
359,(주)국동,005320,2013/12,-31.0,0.6
360,(주)국동,005320,2014/12,31.0,0.4700000000000001
361,(주)국동,005320,2015/12,0.060000000000002274,1.4999999999999998
362,(주)국동,005320,2016/12,-31.12,-1.19
363,(주)국동,005320,2017/12,0.0,0.6200000000000001
364,(주)국동,005320,2018/12,31.06,0.23999999999999977
365,(주)국동,005320,2019/12,0.060000000000002274,2.9800000000000004
366,(주)국동,005320,2020/12,-31.060000000000002,-3.5600000000000005
367,(주)국동,005320,2021/12,-0.06,-0.6399999999999999
368,(주)국보,001140,2011/12,31.06,-1.04
369,(주)국보,001140,2012/12,-31.0,0.05
370,(주)국보,001140,2013/12,31.060000000000002,-0.04
371,(주)국보,001140,2014/12,-0.060000000000002274,0.36
372,(주)국보,001140,2015/12,-31.06,0.030000000000000027
373,(주)국보,001140,2016/12,31.06,0.41000000000000003
374,(주)국보,001140,2017/12,-27.66,-0.6200000000000001
375,(주)국보,001140,2018/12,-0.6000000000000001,3.13
376,(주)국보,001140,2019/12,4.3,-1.4699999999999998
377,(주)국보,001140,2020/12,-7.0,-1.7000000000000002
378,(주)국보,001140,2021/12,0.0,0.08000000000000002
379,(주)국보디자인,066620,2011/12,5.1000000000000005,0.96
380,(주)국보디자인,066620,2012/12,3.7,1.1099999999999999
381,(주)국보디자인,066620,2013/12,-8.700000000000001,6.430000000000001
382,(주)국보디자인,066620,2014/12,-0.1,0.35999999999999943
383,(주)국보디자인,066620,2015/12,48.6,0.6899999999999995
384,(주)국보디자인,066620,2016/12,-48.5,1.8600000000000012
385,(주)국보디자인,066620,2017/12,23.900000000000002,-3.58
386,(주)국보디자인,066620,2018/12,-23.900000000000002,4.4
387,(주)국보디자인,066620,2019/12,1.2,0.09999999999999964
388,(주)국보디자인,066620,2020/12,-1.2999999999999998,-1.1600000000000001
389,(주)국보디자인,066620,2021/12,0.04999999999999999,0.019999999999999574
390,(주)국순당,043650,2011/12,1.25,-7.85
391,(주)국순당,043650,2012/12,-1.2999999999999998,-2.53
392,(주)국순당,043650,2013/12,5.0600000000000005,-0.41000000000000003
393,(주)국순당,043650,2014/12,-5.13,1.2200000000000002
394,(주)국순당,043650,2015/12,0.06,0.5899999999999999
395,(주)국순당,043650,2016/12,41.47,0.7000000000000002
396,(주)국순당,043650,2017/12,-41.550000000000004,0.71
397,(주)국순당,043650,2018/12,0.04,-1.1400000000000001
398,(주)국순당,043650,2019/12,0.16999999999999998,0.20000000000000018
399,(주)국순당,043650,2020/12,32.14,-2.75
400,(주)국순당,043650,2021/12,-32.31,1.6800000000000002
401,(주)국영지앤엠,006050,2011/12,0.15999999999999998,-0.9000000000000001
402,(주)국영지앤엠,006050,2012/12,1.51,-0.41999999999999993
403,(주)국영지앤엠,006050,2013/12,7.680000000000001,0.010000000000000009
404,(주)국영지앤엠,006050,2014/12,23.0,0.41999999999999993
405,(주)국영지앤엠,006050,2015/12,-23.5,-0.7
406,(주)국영지앤엠,006050,2016/12,-8.8,0.29000000000000004
407,(주)국영지앤엠,006050,2017/12,0.1,2.69
408,(주)국영지앤엠,006050,2018/12,1.5,0.010000000000000231
