,회사명,거래소코드,회계년도,대주주지분변화분,외국인지분분변화,상장일,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,산업분류,1인년간평균급여(직원),토빈Q,target,WW지수,RDS,수명주기,산업평균_총자산증가율차분,대주주지분율,외국인지분율,업력,predict,상장협 산업분류 코드(대분류),기업규모명,배당금_현금,배당성향,종합등급,환경,사회,지배구조,한국ESG연구소,Moody's,MSCI,S&P,내용
8612,(주)비와이씨,1460,2020,-52.08,-0.12,1975-06-02,679134864.0,17752211,-2.22,-1.66,4.22,-5.12,-1.94,-34.14,-30.13,11.3,2.66,4.12,57.52,0.67,10686.53,124.32,96.03,67.39,37.43,50.03,26.77,23.61,4.48,66.09,106.86,109.8,제조업,36570,0.595869489,0,-1.173510906,0.0,쇠퇴기,-2.252710677,61.53,1.65,65,0.0,30000,중견기업,928551,5.230621696,B,D,B,B+,-,-,-,-,
8613,(주)비와이씨,1460,2021,52.08,-0.06,1975-06-02,684434512.0,33083403,-2.08,14.6,6.44,1.6,16.44,63.24,56.01,18.16,4.38,6.39,57.5,0.61,11380.45,114.38,102.04,78.35,39.56,42.05,27.12,15.35,9.4,69.83,113.8,120.18,제조업,36201,0.695762136,1,1.192540552,0.0,쇠퇴기,0.675704168,62.75,1.59,66,1.0,30000,중견기업,1262387,3.81577131,B,D,B,B+,-,-,-,-,
8614,(주)비즈니스온커뮤니케이션,138580,2021,-1.01,1.29,2017-11-30,73228615.0,4247167,37.69,-24.73,3.19,81.92,64.18,103.08,108.35,18.65,8.67,10.01,0.0,1.06,498.45,68.53,371.42,371.42,91.69,14.79,12.45,1.76,137.86,77.49,5.03,215.18,정보통신업,40000,4.5166531,1,2.930481033,0.11637391,성숙기,3.095704168,67.38,8.13,14,1.0,100000,중소기업,4471889,105.2911035,,,,,,,,,
8615,(주)비지에프,27410,2020,56.42,-0.84,2014-05-19,1658204362.0,22180092,-10.63,44.75,0.52,-35.76,-50.18,1.38,-8.18,11.58,1.08,1.81,56.24,2.97,1478.32,77.77,671.0,667.63,11.85,7.88,4.49,1.3,42.19,86.94,15.06,237.76,"전문, 과학 및 기술 서비스업",67000,0.345256394,0,-2.109505179,3.87e-05,성장기,-0.072710677,69.7,8.15,26,0.0,130000,중견기업,10527964,47.46582656,B+,B,A,B+,-,-,-,-,
8616,(주)비지에프,27410,2021,0.0,-2.95,2014-05-19,1981622039.0,52416417,26.55,1.29,3.87,33.94,-21.46,140.57,233.71,17.4,1.98,4.26,60.95,2.86,1539.38,87.31,409.82,365.88,181.2,14.36,6.6,3.63,6.77,82.62,17.11,397.3,"전문, 과학 및 기술 서비스업",69000,0.37776932,0,0.989694097,2.36e-05,쇠퇴기,19.39570417,69.7,5.2,27,0.0,130000,중견기업,10527964,20.08524161,A,A,A+,A,-,-,-,13,
8617,(주)비지에프리테일,282330,2020,41.66,-3.26,2017-12-08,2371169598.0,125895224,7.97,11.42,11.92,3.96,-17.51,-18.94,-19.28,1.99,5.4,18.6,82.98,0.06,3941.64,221.3,82.63,70.51,2.39,240.28,143.99,88.92,9.0,28.73,39.42,34.12,도매 및 소매업,56000,1.661183659,0,-1.711247937,0.000524335,성숙기,9.027289323,55.29,30.83,3,1.0,70000,중견기업,41460036,32.93217541,A,B+,B+,A,-,-,BB,-,
8618,(주)비지에프에코머티리얼즈,126600,2020,0.0,-2.83,2010-11-12,150417752.0,9438604,-5.41,-3.33,8.76,-17.48,26.32,42.18,46.46,8.44,8.31,11.19,82.66,0.0,1042.75,30.1,371.21,282.45,64.87,26.75,26.04,5.42,40.08,73.19,10.43,97.91,제조업,48173,0.792920612,1,-1.548596847,0.02365886,성숙기,-3.952710677,34.79,2.75,23,0.0,30000,중견기업,2027294,21.47874834,,,,,,,,,
8619,(주)비지에프에코머티리얼즈,126600,2021,-56.41,-1.62,2010-11-12,306763504.0,-2728503,32.4,126.22,31.57,34.81,92.89,-93.77,-33.66,0.39,0.35,0.58,80.74,0.0,1178.25,30.29,174.25,144.25,103.56,96.48,95.38,50.66,120.05,47.51,11.78,147.73,제조업,52000,1.375534479,0,2.392030879,0.020566932,쇠퇴기,103.8357042,44.34,1.13,24,0.0,30000,중견기업,2389594,-87.57893981,,,,,,,,,
8620,(주)비츠로셀,82920,2020,-4.0,11.68,2009-10-28,188283779.0,13950930,-4.59,39.6,10.18,-15.18,-28.33,-29.64,-25.09,12.48,8.02,9.51,72.43,0.28,1347.08,56.25,883.67,648.74,332.56,20.81,7.31,11.61,92.14,77.05,13.47,163.36,제조업,44000,2.029871177,0,-1.477641837,0.002173506,성장기,14.71728932,38.7,32.52,33,0.0,30000,중소기업,2584698,18.52706594,,,,,,,,,
8621,(주)비츠로셀,82920,2021,23.87,1.57,2009-10-28,206247204.0,16432256,1.09,16.91,6.99,0.06,-4.05,20.47,18.8,15.03,8.63,10.55,70.67,0.19,1481.09,53.15,331.22,243.22,51.83,23.69,21.3,11.44,13.7,77.34,14.81,177.21,제조업,45000,1.686614205,1,1.185067354,0.00150269,성숙기,9.435704168,39.08,34.09,34,1.0,30000,중소기업,3195638,19.44734795,,,,,,,,,
