,target,거래소코드,상장일,수명주기,직급명,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),미처분이익잉여금(결손금),총자본증가율,비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,1인평균지급액(임원),1인년간평균급여(직원),토빈Q,WW지수,RDS
1578,0,38060,2006/08/08,쇠퇴기,사외이사 (감사위원회 위원 제외),제조업,2021,(주)루멘스,4.84,9.2,153971295.0,7545891.0,9753057.0,22.65,10.85,34.36,11.84,33.25,22.63,30.11,1.64,5.51,5.82,12.01,84.19,0.01,937.44,95.28,125.54,122.26,5.89,111.59,92.65,45.16,7.93,43.87,9.65,103.67,778333.0,47436.0,257.3025316829348,0.2711715974775158,0.0004549019308737
1579,0,85370,2006/07/04,성장기,등기이사,제조업,2011,(주)루트로닉,-5.11,0.0499999999999989,154719927.0,5581888.0,11138769.0,0.49,-13.15,11.66,4.99,-9.89,-19.27,-29.27,-23.23,4.25,3.67,7.85,84.55,0.01,987.94,79.07,144.46,140.0,45.98,103.17,85.91,19.75,5.81,45.85,10.13,115.54,772567.0,46614.0,213.1501018417621,-0.8955546136179529,0.0006837573648227
1580,0,85370,2006/07/04,성장기,등기이사,제조업,2012,(주)루트로닉,0.2,-1.42,206120936.0,3771062.0,11346652.0,33.22,39.05,29.51,4.54,27.96,-44.62,-29.99,-11.65,2.2,2.08,5.25,88.96,0.0,1045.26,105.57,122.96,118.92,24.92,159.88,125.5,55.3,3.09,36.26,10.68,116.61,313100.0,45146.0,169.39961731010186,0.1850722667797079,0.0017978290932525
1581,0,85370,2006/07/04,성장기,등기이사,제조업,2013,(주)루트로닉,0.1399999999999999,0.5800000000000001,206045227.0,6739762.0,14699342.0,-0.04,2.66,-1.88,17.22,51.38,219.79,203.01,183.35,4.7,5.88,14.32,87.4,0.0,1175.92,92.68,117.02,112.46,9.11,122.17,110.65,30.66,6.38,42.67,11.98,77.26,883049.0,48185.0,179.75456123523793,0.5130425489943911,0.0049239353763516
1582,0,85370,2006/07/04,성장기,등기이사,제조업,2014,(주)루트로닉,-0.31,2.380000000000001,256997922.0,8711280.0,18804198.0,24.73,32.89,18.89,19.21,2.06,-2.69,25.04,23.62,5.76,6.55,15.14,86.53,0.0,1301.96,103.54,107.65,99.12,3.31,132.95,120.21,51.13,13.68,40.82,13.23,95.42,242517.0,49777.0,281.906821740761,-0.987705268354686,0.0082582287117253
1583,0,85370,2006/07/04,성장기,등기이사,제조업,2015,(주)루트로닉,0.0,-3.120000000000001,252476646.0,6634947.0,21052589.0,-1.76,3.21,-5.74,10.59,0.5,-28.51,-38.23,-42.96,3.49,3.62,8.16,87.25,0.0,1259.86,96.92,131.74,123.57,15.8,107.56,83.98,44.45,5.77,46.19,12.76,92.73,24000.0,37654.0,256.6845997589813,-1.2093507377233932,0.0170688649583459
1584,0,85370,2006/07/04,성장기,사외이사 (감사위원회 위원 제외),제조업,2016,(주)루트로닉,0.03,-0.8399999999999999,289528242.0,4410012.0,21581589.0,14.68,25.21,5.45,-2.59,-7.69,-41.91,-108.37,-119.93,-0.32,-0.29,-0.66,88.69,0.0,1233.77,124.63,105.77,98.32,16.67,144.44,113.27,81.07,2.06,39.5,12.49,114.09,234267.0,46426.0,552.2993551143795,-0.2263361620523744,0.0165687290076062
1585,0,85370,2006/07/04,도입기,사외이사 (감사위원회 위원 제외),제조업,2017,(주)루트로닉,-1.43,-0.22,343280332.0,17944748.0,62958398.0,21.5,11.27,33.01,17.54,23.13,103.43,211.51,212.29,6.92,8.42,17.77,78.35,0.0,1322.23,103.61,126.82,103.9,20.07,113.68,86.8,64.34,0.0,58.03,13.6,87.88,199000.0,44000.0,335.28212046823586,-0.1245334407177272,0.0210581059700745
1586,0,85370,2006/07/04,도입기,사외이사 (감사위원회 위원 제외),제조업,2018,(주)루트로닉,0.05,0.3399999999999999,348028800.0,10790729.0,68361579.0,1.38,-0.7,3.35,3.3,-14.57,-34.75,-50.23,-64.13,4.0,3.76,8.05,77.01,0.06,1357.18,98.66,117.76,94.04,25.58,107.75,92.64,63.38,6.79,59.21,14.06,104.35,261000.0,44000.0,565.2138128195138,-1.079139897857328,0.0280606784387992
1587,0,85370,2006/07/04,도입기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2019,(주)루트로닉,-0.05,4.9,422659866.0,1391118.0,68000211.0,21.44,44.26,0.81,7.82,55.77,-7.25,-48.4,-29.01,1.31,1.73,3.93,83.11,0.08,1442.73,130.53,102.7,72.58,22.09,131.38,98.2,90.32,5.19,52.34,15.1,73.53,346000.0,50000.0,513.7429328693347,1.129457261197344,0.0259143326035176
