,target,거래소코드,상장일,수명주기,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,1인년간평균급여(직원),토빈Q,WW지수,RDS,산업평균_총자산증가율차분,보통주식비율,외국인_주식분포비율,업력
1234,1,1460,1975/06/02,성장기,제조업,2015,(주)비와이씨,3.22,1.4900000000000002,611082113.0,25144766.0,-0.92,16.98,9.3,9.83,-15.53,-1.33,-11.75,18.09,9.16,10.67,58.07,0.34,834.18,74.95,329.24,329.22,55.98,14.57,12.03,4.91,35.3,78.47,8.89,189.96,48000.0,0.7945252880605916,-0.3717838780982335,0.0,4.579830716270698,51.98,16.05,21.0
1235,0,1460,1975/06/02,성장기,제조업,2016,(주)비와이씨,0.15,-0.15,44576597.0,1792251.0,41.67,-20.55,1.98,7.85,-63.96,-57.99,-57.98,9.13,4.08,4.64,79.18,1.28,1224.98,50.42,614.74,243.32,43.44,10.45,9.77,0.82,574.86,84.97,12.39,199.5,31197.0,2.162071389164139,-0.7100159172770337,0.0,-0.8407472473651092,36.33,0.63,11.0
1236,1,1460,1975/06/02,성장기,제조업,2017,(주)비와이씨,-2.71,-0.8,228890084.0,-3654617.0,2.32,-16.38,-5.57,14.88,49.37068527315937,860.9023444180505,45.22930641330159,-2.95,-2.81,-4.56,85.54,0.42,1632.04,113.23,99.94,40.39,4.06,138.29,125.14,90.11,0.17,42.11,15.18,95.32,38000.0,0.775645291650118,-0.5917475829950755,0.0,-8.506797668503834,23.39,0.13,53.0
1237,1,1460,1975/06/02,성숙기,제조업,2018,(주)비와이씨,6.06,0.0999999999999996,218339707.0,5081566.0,-2.47,-5.68,4.28,20.36,91.29,860.9023444180505,45.22930641330159,1.63,1.9,4.55,84.67,0.05,1643.33,92.64,111.55,48.04,18.32,128.52,121.81,79.55,2.53,43.91,15.08,81.48,51000.0,0.8208042945940199,-0.3469417683294774,0.0,-4.518294717190217,21.87,4.55,59.0
1238,1,1460,1975/06/02,쇠퇴기,제조업,2019,(주)비와이씨,0.1399999999999999,0.3899999999999997,139096842.0,1604037.0,1.94,-1.19,-0.19,11.24,1147.98,-39.93,-39.64,2.23,1.77,2.83,89.97,0.0,809.93,86.49,163.48,133.24,18.34,60.33,45.17,24.89,2.81,57.19,8.1,117.22,33477.0,0.872663899084064,-0.6312802049644202,6.328283349985902e-05,0.3932023314961649,27.82,6.52,25.0
1239,0,138580,2017/11/30,성장기,정보통신업,2017,(주)비즈니스온커뮤니케이션,2.7,-0.1299999999999999,145260432.0,2552848.0,2.82,8.35,4.45,2.09,49.37068527315937,860.9023444180505,45.22930641330159,3.58,3.02,4.2,91.44,0.0,686.18,81.85,235.0,214.06,14.69,39.56,24.56,10.74,7.56,64.11,6.86,106.64,24409.0,0.7965734415274216,-2.608887551590995,0.0001318721616143,6.035384296466541,32.28,4.36,27.0
1240,1,138580,2017/11/30,성숙기,정보통신업,2018,(주)비즈니스온커뮤니케이션,-27.55,-6.489999999999999,781630816.0,40673105.0,2.6,-16.35,-2.17,-8.76,-32.93,-95.78,-68.85,0.11,0.2,0.3,89.41,0.01,1828.81,109.39,133.1,96.95,30.23,133.61,93.33,68.51,10.21,41.09,18.39,49.5,54000.0,1.096888971045891,-1.1547262309360982,0.0,-8.470169283729302,56.86,5.04,38.0
1241,1,138580,2017/11/30,쇠퇴기,정보통신업,2019,(주)비즈니스온커뮤니케이션,-3.45,-0.3099999999999996,927526528.0,70577827.0,12.08,24.46,12.97,-11.46,-37.99,4310.31,1268.49,3.34,5.14,12.41,89.91,0.01,2075.93,108.64,130.26,95.63,40.8,145.62,105.16,85.28,4.47,39.27,20.86,66.34,53000.0,0.8856697256318258,-1.7536510112362054,0.0,19.66538429646654,51.46,4.73,39.0
1242,0,27410,2014/05/19,성장기,"전문, 과학 및 기술 서비스업",2014,(주)비지에프,-0.01,6.020000000000001,964142090.0,39760173.0,3.18,10.93,8.35,-0.16,140.48,860.9023444180505,45.22930641330159,3.86,5.17,12.64,88.98,0.01,2173.48,117.62,109.29,73.94,26.16,144.8,116.37,82.77,4.49,39.45,21.78,71.34,58000.0,0.8151244982365617,-1.2896382378242477,0.0,6.963259767156068,57.01,9.05,41.0
1243,1,27410,2014/05/19,성장기,"전문, 과학 및 기술 서비스업",2015,(주)비지에프,1.6700000000000004,0.61,119517520.0,5378353.0,13.54,2.92,9.08,36.28,13.92,-14.22,438.88,2.11,4.72,6.96,95.03,0.0,2199.18,103.85,104.65,91.55,4.11,48.23,42.41,2.44,24.33,66.14,21.99,31.84,48000.0,0.801766971135278,0.5045097991580266,0.0,10.0898307162707,52.24,0.61,3.0
